,Weight
Cash,0.93529326
FFIV,0.008747748
IP,0.0060673826
SNA,0.005934899
IBM,0.0057012653
GWW,0.005223899
IRM,0.0042002816
PTC,0.003763311
TDG,0.0034559467
BIO,0.0030477108
TYL,0.0024232662
WMT,0.0020245148
COST,0.0015021428
AZO,0.0013484719
PANW,0.001269462
EA,0.0012343252
GRMN,0.0012175146
URI,0.0011388551
NVDA,0.0011337305
AVGO,0.0010849106
T,0.001055869
PM,0.0007870742
ICE,0.00057343725
TRGP,0.00055849744
GILD,0.0005506441
INTU,0.00022599407
WMB,0.00015305607
LIN,9.0176196e-05
WAB,7.481845e-05
TMUS,5.7613048e-05
ECL,2.757167e-05
AXON,1.6805077e-05
CME,6.424082e-06
GEN,4.120027e-06
MSFT,1.5676602e-06
VRTX,8.2849994e-07
NI,4.6510155e-07
BR,3.0365766e-07
LLY,3.0124266e-07
SO,2.5452525e-07
JPM,2.041158e-07
ETR,1.6072379e-07
FTNT,1.13515064e-07
META,1.109921e-07
EXPE,8.918904e-08
TRMB,8.2476085e-08
INCY,8.0449595e-08
ABBV,7.576162e-08
AMZN,7.3325054e-08
NFLX,7.284081e-08
RSG,6.6853964e-08
ANET,3.0678404e-08
WTW,1.2612978e-08
WFC,1.0253945e-08
EBAY,9.646533e-09
MCO,7.662917e-09
ADSK,3.0106952e-09
AFL,2.9366736e-09
HLT,2.637547e-09
NDAQ,2.3418076e-09
AON,2.3283349e-09
PEG,2.3015627e-09
RVTY,2.1606326e-09
TFX,2.0802025e-09
PPL,1.8951596e-09
CMI,1.5179308e-09
DUK,1.4683761e-09
RL,1.2029167e-09
FI,1.1409282e-09
CEG,9.916716e-10
AMGN,9.446168e-10
RCL,8.293749e-10
J,7.7999557e-10
MAR,6.9903805e-10
KEYS,6.818872e-10
AKAM,4.99384e-10
MLM,4.9846977e-10
KMI,4.7412446e-10
REGN,4.6915105e-10
TSCO,4.003732e-10
AXP,3.8556214e-10
ILMN,3.713843e-10
GOOGL,3.6213357e-10
MSCI,3.356018e-10
VTRS,3.156199e-10
STE,3.122949e-10
MA,2.9762312e-10
DHR,2.7320946e-10
IT,2.7217945e-10
AMD,2.6687344e-10
GE,2.614619e-10
LYV,2.6118985e-10
CE,2.5305685e-10
MOH,2.503139e-10
ZION,2.451725e-10
NRG,2.4093288e-10
QCOM,2.3137982e-10
PNC,2.2859942e-10
TRV,2.1845384e-10
PKG,2.1334594e-10
PNR,2.0031533e-10
INTC,1.9875004e-10
SPG,1.9855631e-10
AAPL,1.9225409e-10
CRM,1.9201285e-10
LDOS,1.9037524e-10
CSCO,1.8726348e-10
HIG,1.8150986e-10
AVY,1.7888932e-10
ADI,1.7582838e-10
QRVO,1.6990434e-10
OKE,1.6374738e-10
EQIX,1.6134634e-10
TT,1.530478e-10
MRNA,1.4988807e-10
LNT,1.483932e-10
PAYC,1.4709164e-10
BLK,1.4610356e-10
CTAS,1.4289281e-10
KEY,1.3947928e-10
V,1.3336038e-10
ADBE,1.2917577e-10
GNRC,1.2900106e-10
PSX,1.2795366e-10
PAYX,1.2785495e-10
SWKS,1.2754657e-10
BAC,1.2662665e-10
NDSN,1.2526157e-10
MCK,1.2447265e-10
KLAC,1.2329895e-10
PRU,1.2227067e-10
NEM,1.1921863e-10
KO,1.168958e-10
ACN,1.14667595e-10
IFF,1.1381238e-10
A,1.111654e-10
APH,1.0873263e-10
STX,1.05916574e-10
SRE,1.05108505e-10
JNJ,1.0275621e-10
NWL,1.02696025e-10
