,Weight
Cash,0.9158401
MPWR,0.021560319
FICO,0.015558814
MTD,0.01017188
NVR,0.0069979867
BKNG,0.0055276724
ESS,0.0043704985
ZBRA,0.0036565308
POOL,0.0034058313
AIZ,0.003404511
TDY,0.0029235804
AMP,0.0027721436
FDS,0.0020014322
WAT,0.0018088928
AZO,2.43067e-11
TRGP,9.684774e-12
TFX,1.4062492e-12
BIO,1.2947888e-12
IP,7.1196884e-13
IRM,4.991262e-13
NDSN,3.260659e-13
GRMN,2.7044596e-13
TDG,2.313433e-13
SNA,2.250351e-13
GWW,2.0521032e-13
AXON,1.7996093e-13
FFIV,1.7326985e-13
T,1.698573e-13
ABBV,1.3206266e-13
URI,1.1119409e-13
PTC,1.02628e-13
TYL,9.707576e-14
WMB,8.913322e-14
IBM,8.840642e-14
PM,8.7267263e-14
WAB,8.341215e-14
JPM,8.071973e-14
WMT,7.932606e-14
ETR,7.752776e-14
MLM,7.4084795e-14
AVY,7.1583256e-14
BR,6.715744e-14
RVTY,6.5881105e-14
EPAM,6.474769e-14
CRL,6.423359e-14
CMI,6.410734e-14
COST,6.3084046e-14
MSCI,6.23877e-14
WTW,6.173953e-14
LIN,6.1129934e-14
SO,6.1066325e-14
IT,6.06481e-14
EQIX,6.0623395e-14
BLK,5.918998e-14
STE,5.867686e-14
ICE,5.7957186e-14
WFC,5.0907812e-14
MHK,5.066945e-14
MCO,5.0576503e-14
RSG,5.0496838e-14
CME,4.9982693e-14
MOH,4.968957e-14
RL,4.8547012e-14
AFL,4.8138448e-14
CE,4.7531715e-14
HII,4.7355904e-14
PKG,4.6106182e-14
GILD,4.4904266e-14
MKTX,4.4778146e-14
ECL,4.4575292e-14
WST,4.446254e-14
GNRC,4.4140642e-14
INTU,4.4085297e-14
J,4.3531005e-14
IEX,4.3283492e-14
IDXX,4.2849123e-14
NI,4.195502e-14
JKHY,4.1585672e-14
AON,4.1350268e-14
PAYC,4.0366033e-14
DUK,3.979237e-14
CTAS,3.949227e-14
TMUS,3.8934327e-14
TSCO,3.874019e-14
KEYS,3.8670442e-14
PEG,3.8430247e-14
PPL,3.718654e-14
LDOS,3.7156327e-14
EFX,3.7138055e-14
REGN,3.626414e-14
SPG,3.593382e-14
MTB,3.5780518e-14
LLY,3.5095577e-14
PNR,3.4985642e-14
AMGN,3.476094e-14
FRT,3.468535e-14
TRV,3.4571324e-14
PFG,3.4541455e-14
L,3.413211e-14
PH,3.412913e-14
AJG,3.4089132e-14
LH,3.3865295e-14
HIG,3.3510053e-14
DTE,3.35015e-14
KLAC,3.32704e-14
LNT,3.2896507e-14
NDAQ,3.2829838e-14
PNC,3.2703654e-14
RJF,3.2565113e-14
AVB,3.2482927e-14
CINF,3.2444116e-14
JBHT,3.2434142e-14
HLT,3.2270078e-14
TRMB,3.220653e-14
IFF,3.2082352e-14
VRTX,3.1820785e-14
AKAM,3.1720574e-14
ORLY,3.1225663e-14
IQV,3.1081847e-14
CMG,3.1002507e-14
ROP,3.0938156e-14
PANW,3.0909862e-14
MCK,3.0857112e-14
CEG,3.0592533e-14
RHI,3.0332423e-14
DGX,3.021654e-14
AVGO,3.0179594e-14
EBAY,3.002524e-14
ALGN,2.987986e-14
GEN,2.986498e-14
GL,2.9855624e-14
ATO,2.9845077e-14
KMI,2.9733262e-14
MRNA,2.9721068e-14
DHR,2.960246e-14
MAR,2.9526996e-14
TECH,2.9412948e-14
AXP,2.9295543e-14
ZION,2.9102883e-14
ROK,2.903713e-14
ADSK,2.8932192e-14
UHS,2.8737144e-14
PRU,2.8645848e-14
PSA,2.8544353e-14
NRG,2.8508662e-14
VTRS,2.8435174e-14
JNJ,2.8281837e-14
DVA,2.8273845e-14
ANSS,2.8215116e-14
SRE,2.8209053e-14
A,2.8121653e-14
EXR,2.7850298e-14
ALL,2.7739064e-14
ANET,2.7723343e-14
OKE,2.7657967e-14
TMO,2.7471049e-14
PSX,2.7410659e-14
PNW,2.7303316e-14
BAC,2.7271947e-14
AMZN,2.7265879e-14
MA,2.7153154e-14
CBOE,2.7074646e-14
WHR,2.7018997e-14
VRSK,2.6703423e-14
MAA,2.668794e-14
GS,2.6665563e-14
EMN,2.6596316e-14
DLR,2.6501352e-14
KEY,2.6395849e-14
DE,2.6341683e-14
TSN,2.6335274e-14
CDW,2.6332911e-14
APD,2.6228172e-14
GE,2.607207e-14
EA,2.6059399e-14
TT,2.6038911e-14
EIX,2.6013713e-14
AEE,2.5956796e-14
NVDA,2.5945529e-14
META,2.5902203e-14
WRB,2.5819238e-14
ILMN,2.5669564e-14
EXPD,2.5663174e-14
NTRS,2.5603062e-14
CBRE,2.5596118e-14
EVRG,2.5586184e-14
MSFT,2.5582894e-14
D,2.5435544e-14
CHD,2.5385115e-14
CMS,2.5304591e-14
QRVO,2.5268458e-14
CB,2.520197e-14
CPT,2.5042351e-14
AMD,2.4841689e-14
DOV,2.4689093e-14
ALLE,2.467042e-14
FI,2.4540122e-14
PAYX,2.4510508e-14
CSCO,2.4337317e-14
MSI,2.4312825e-14
LYV,2.4212496e-14
NFLX,2.4210551e-14
ACN,2.4116983e-14
NEM,2.4016638e-14
FANG,2.3999344e-14
SBAC,2.3983973e-14
AWK,2.3933036e-14
COO,2.379423e-14
EXC,2.3674896e-14
PCG,2.3666992e-14
KR,2.3655423e-14
INCY,2.3640767e-14
NWL,2.3495393e-14
VTR,2.3432895e-14
KO,2.3417881e-14
CL,2.326266e-14
LRCX,2.3239557e-14
GOOGL,2.3235594e-14
EXPE,2.3228173e-14
CRM,2.321659e-14
EQT,2.3140412e-14
CHTR,2.310982e-14
ROL,2.3099253e-14
V,2.3076046e-14
MMC,2.3012332e-14
EOG,2.3009582e-14
PGR,2.2934632e-14
REG,2.2802518e-14
BRO,2.2798461e-14
INTC,2.2765962e-14
MPC,2.2738732e-14
FTNT,2.2732743e-14
VLO,2.2727918e-14
TXT,2.2691111e-14
SYF,2.2621682e-14
PWR,2.2621438e-14
ED,2.2519015e-14
NSC,2.245877e-14
CVS,2.2409556e-14
DXC,2.2380416e-14
C,2.2310172e-14
HBAN,2.2255642e-14
ALK,2.2248073e-14
GD,2.222535e-14
LW,2.2205907e-14
MET,2.2103633e-14
QCOM,2.2100858e-14
STT,2.2061713e-14
FE,2.2017214e-14
BXP,2.2010597e-14
NOC,2.1937659e-14
IR,2.1851319e-14
SPGI,2.1835586e-14
FDX,2.1716537e-14
AEP,2.164899e-14
VMC,2.1634456e-14
ACGL,2.1587553e-14
WEC,2.1547466e-14
RCL,2.1542121e-14
NTAP,2.152792e-14
HES,2.1430704e-14
CFG,2.134306e-14
CNP,2.1336824e-14
ADI,2.132486e-14
UNP,2.1290763e-14
SWKS,2.1275474e-14
SHW,2.1248211e-14
STX,2.1243391e-14
FTV,2.1217774e-14
AOS,2.1201912e-14
CI,2.1145868e-14
ARE,2.1127563e-14
AAP,2.1091107e-14
ADBE,2.1074207e-14
STZ,2.10707e-14
BKR,2.1067605e-14
ETSY,2.0852186e-14
BK,2.0795516e-14
PCAR,2.079168e-14
ABT,2.0738435e-14
ISRG,2.070316e-14
CMA,2.0651361e-14
