,Weight
Cash,0.90198135
MPWR,0.020731488
FICO,0.01546866
BKNG,0.00965806
MTD,0.009367117
AMP,0.006003951
NVR,0.0059065223
TDY,0.0056207865
ESS,0.004306004
WAT,0.003587819
AIZ,0.0035446158
GRMN,0.0032274413
IRM,0.0031495185
TRGP,0.002948583
FDS,0.0017342151
IP,0.0011530658
ABBV,0.0005212012
FFIV,0.0003153443
PM,0.00011048331
IBM,9.4960946e-05
WMB,8.3933024e-05
T,7.1276176e-05
JPM,7.032294e-05
WMT,6.212354e-05
PTC,5.698596e-05
ETR,2.9422594e-05
AZO,2.2207905e-05
LIN,1.873945e-05
ICE,1.6016931e-05
CME,1.164914e-05
WAB,1.11226045e-05
COST,1.0855572e-05
SO,1.06693815e-05
GILD,7.2970647e-06
AFL,7.1630443e-06
WFC,5.2094388e-06
RSG,4.1192934e-06
ZBRA,3.8744956e-06
AXON,2.524661e-06
NI,2.446224e-06
TMUS,2.1379792e-06
AMGN,1.7634509e-06
INTU,1.7633728e-06
WTW,1.5501629e-06
DUK,1.4920552e-06
CMI,1.3059991e-06
PEG,1.2684573e-06
PPL,1.1877235e-06
ECL,1.060468e-06
AON,1.0584469e-06
LLY,8.38438e-07
NDAQ,7.241014e-07
EBAY,7.0063174e-07
RL,6.6743183e-07
BR,6.5826197e-07
AKAM,5.928756e-07
AVGO,5.7994663e-07
URI,5.7657405e-07
HIG,5.651019e-07
GEN,4.8732056e-07
MCO,4.840749e-07
TRV,4.782412e-07
MLM,4.5159916e-07
CE,4.4581674e-07
CEG,4.4513718e-07
ANET,4.3173952e-07
RVTY,4.233725e-07
TSCO,4.1383979e-07
MOH,4.0842e-07
PANW,4.0663141e-07
LNT,3.927755e-07
KEYS,3.9045278e-07
HLT,3.8810705e-07
REGN,3.6514123e-07
JNJ,3.6506344e-07
VRTX,3.5935184e-07
KMI,3.5625135e-07
NRG,3.48623e-07
NVDA,3.4814136e-07
PNC,3.390044e-07
AXP,3.3460557e-07
SNA,3.2173875e-07
OKE,3.1658993e-07
AMZN,3.1521085e-07
DHR,3.0973945e-07
CSCO,3.0781547e-07
MCK,3.0682077e-07
ZION,3.0640317e-07
TYL,3.0402705e-07
J,2.8494176e-07
MA,2.8095567e-07
PNR,2.7572037e-07
MSCI,2.7479342e-07
GE,2.6616488e-07
IT,2.6307558e-07
VTRS,2.6019478e-07
KEY,2.5712328e-07
LDOS,2.5418794e-07
POOL,2.4633212e-07
MAR,2.4439342e-07
INCY,2.3667694e-07
MRNA,2.3603124e-07
SPG,2.3021619e-07
PKG,2.2350515e-07
TSN,2.2205191e-07
STE,2.1822248e-07
TFX,2.1664223e-07
SRE,2.1402128e-07
TDG,2.1348181e-07
META,2.0864545e-07
EQIX,2.0858374e-07
DTE,2.0836967e-07
PRU,2.0559753e-07
IFF,2.017756e-07
BAC,2.0150192e-07
CL,1.9836973e-07
PSX,1.9410277e-07
LH,1.9312338e-07
MSFT,1.9289057e-07
FTNT,1.9244534e-07
ADSK,1.9042659e-07
GS,1.901036e-07
FI,1.8848286e-07
INTC,1.8513394e-07
A,1.8476396e-07
BLK,1.8343647e-07
AJG,1.767025e-07
EA,1.7212813e-07
TRMB,1.7179707e-07
V,1.7174511e-07
PFG,1.6855776e-07
D,1.6804792e-07
NWL,1.6623538e-07
QCOM,1.6614872e-07
ALL,1.6567806e-07
EXPE,1.6535695e-07
KO,1.6528067e-07
CRM,1.6399086e-07
AVY,1.6303191e-07
GWW,1.5413289e-07
AMD,1.539029e-07
TT,1.486916e-07
DGX,1.4508512e-07
BIO,1.4480419e-07
CTAS,1.4381519e-07
L,1.4185295e-07
ILMN,1.414951e-07
TMO,1.4060524e-07
DE,1.3961203e-07
NFLX,1.3915428e-07
CB,1.3875353e-07
RJF,1.3394181e-07
PAYX,1.3055218e-07
CBRE,1.2966458e-07
CBOE,1.283005e-07
MPC,1.2826146e-07
PAYC,1.2791475e-07
ADBE,1.2735812e-07
QRVO,1.267511e-07
ACN,1.222504e-07
KR,1.2156647e-07
APH,1.2000245e-07
EXC,1.1962427e-07
LYV,1.1746262e-07
VTR,1.1711227e-07
MET,1.1370645e-07
RHI,1.136194e-07
CMS,1.12592346e-07
EVRG,1.1183054e-07
ATO,1.1107469e-07
HBAN,1.107953e-07
NEM,1.10227234e-07
CVS,1.1000071e-07
FANG,1.0987988e-07
SYF,1.0889813e-07
GOOGL,1.0868265e-07
VRSK,1.0781716e-07
IR,1.0547446e-07
DLR,1.0515691e-07
HAL,1.0463632e-07
ADI,1.04123316e-07
CRL,1.0360857e-07
PGR,1.0311629e-07
GL,1.027475e-07
WRB,1.017072e-07
EXPD,1.0101127e-07
MU,1.0047122e-07
BKR,9.958412e-08
VLO,9.935829e-08
CHD,9.878964e-08
APD,9.870112e-08
USB,9.682229e-08
AEE,9.648736e-08
EPAM,9.627744e-08
CFG,9.5903395e-08
GNRC,9.529977e-08
EOG,9.433213e-08
PCG,9.4172584e-08
ETN,9.413939e-08
SLB,9.358385e-08
MMC,9.334169e-08
PNW,9.2859764e-08
MKTX,9.131099e-08
IDXX,8.752203e-08
MHK,8.719397e-08
CAT,8.646285e-08
PCAR,8.6281695e-08
EIX,8.4669615e-08
C,8.447047e-08
FE,8.433601e-08
CHTR,8.387377e-08
EFX,8.253234e-08
EQT,8.222407e-08
FRT,8.190072e-08
ROL,8.1304606e-08
BXP,8.105712e-08
CARR,8.072797e-08
CDW,7.953285e-08
CMG,7.9366146e-08
UNP,7.8807204e-08
ACGL,7.691433e-08
ALK,7.636874e-08
NTAP,7.5471455e-08
MS,7.518418e-08
PH,7.514047e-08
LEN,7.50339e-08
COP,7.425304e-08
MMM,7.379641e-08
ORCL,7.368303e-08
AEP,7.360407e-08
STX,7.358392e-08
IQV,7.3341944e-08
APA,7.330332e-08
LRCX,7.1544996e-08
SWKS,7.096547e-08
NDSN,6.960437e-08
KLAC,6.948177e-08
ED,6.82066e-08
HD,6.802881e-08
WST,6.787581e-08
REG,6.751669e-08
BK,6.73396e-08
MTB,6.689208e-08
STT,6.684769e-08
TFC,6.654943e-08
PHM,6.5858615e-08
VFC,6.566151e-08
LUV,6.553558e-08
CNP,6.500659e-08
JBHT,6.4616465e-08
NEE,6.432443e-08
SPGI,6.354891e-08
CF,6.30799e-08
WDC,6.300208e-08
PWR,6.2955195e-08
FITB,6.243544e-08
PG,6.1749276e-08
UNH,6.1463545e-08
HES,6.060197e-08
FTV,6.028879e-08
HII,5.880382e-08
WELL,5.825098e-08
PYPL,5.7668053e-08
JKHY,5.7186586e-08
ADP,5.598562e-08
CI,5.5336002e-08
GPN,5.525847e-08
FIS,5.5245337e-08
RCL,5.5058702e-08
ANSS,5.4643277e-08
SCHW,5.4595844e-08
SHW,5.4567714e-08
ABT,5.429758e-08
CINF,5.4128552e-08
PSA,5.3732187e-08
ROK,5.343873e-08
ROP,5.3390394e-08
TECH,5.269868e-08
ETSY,5.207607e-08
AAPL,5.1529895e-08
PFE,5.12295e-08
BRO,5.0626024e-08
NTRS,5.0612464e-08
LW,5.0516515e-08
FCX,5.0210204e-08
RF,4.9323464e-08
MGM,4.866438e-08
ENPH,4.839567e-08
TXT,4.783776e-08
XEL,4.750271e-08
TSLA,4.7356767e-08
FDX,4.669452e-08
IEX,4.6380705e-08
EXR,4.5878533e-08
CMA,4.5776474e-08
GD,4.560408e-08
AVB,4.5304347e-08
WEC,4.5084413e-08
CTRA,4.4932207e-08
TER,4.488381e-08
KDP,4.406019e-08
ALGN,4.3922075e-08
DD,4.3420336e-08
NOW,4.3148223e-08
AMT,4.2766253e-08
INVH,4.2131536e-08
NXPI,4.154579e-08
AWK,4.13187e-08
DIS,4.131665e-08
BSX,4.128547e-08
MTCH,4.106624e-08
HPQ,4.0648775e-08
