,Weight
FFIV,0.16826683
IP,0.14677936
BKNG,0.09690207
GRMN,0.09512546
TRGP,0.082743
IBM,0.0782729
IRM,0.07692484
WMT,0.05444204
PTC,0.05311173
PM,0.044559397
LIN,0.03356242
INTU,0.023946183
JPM,0.011214232
ICE,0.007080073
AMP,0.006629143
NI,0.0043196236
GILD,0.0031965459
WAB,0.0017094848
WMB,0.00160816
ETR,0.0012099516
FICO,0.0009064335
Cash,0.00085697696
NDAQ,0.0007376422
WFC,0.0004416476
AIZ,0.00042944416
ECL,0.00040837485
EXPE,0.00034054383
FDS,0.00029315404
GEN,0.00027616505
COST,0.00026332802
CMI,0.00021700554
ABBV,0.00019843216
AVGO,0.0001753367
WAT,0.0001750465
SO,0.0001533487
TDY,0.00015299948
EBAY,0.00014121168
AFL,0.000116210984
MCO,8.4877065e-05
DUK,8.240164e-05
PANW,8.118933e-05
RSG,7.9998645e-05
AXON,7.5899785e-05
ANET,7.215606e-05
HLT,6.702012e-05
MAR,6.6485794e-05
CME,5.9222075e-05
AMZN,5.8907328e-05
AXP,5.8502505e-05
AZO,5.4339776e-05
SPG,5.3369633e-05
AON,4.9370254e-05
CSCO,4.668933e-05
PPL,4.6296285e-05
NVR,4.0410592e-05
KMI,4.03748e-05
NVDA,4.009352e-05
J,3.7535137e-05
BR,3.308128e-05
URI,3.1149437e-05
PNC,3.0457722e-05
FI,2.8324834e-05
T,2.766792e-05
ESS,2.674485e-05
TRMB,2.2661066e-05
DE,2.082781e-05
ZBRA,2.0758354e-05
PEG,2.0236579e-05
FTNT,1.8033197e-05
LNT,1.7479086e-05
ZION,1.682941e-05
KEY,1.6240952e-05
TMUS,1.5868523e-05
TRV,1.5667609e-05
PNR,1.5524987e-05
MA,1.5283726e-05
MSFT,1.3843791e-05
DHR,1.2830171e-05
OKE,1.1726273e-05
MTD,1.1436455e-05
KEYS,1.052762e-05
HIG,1.0057493e-05
VTR,9.408469e-06
VTRS,9.331685e-06
WTW,9.330618e-06
AKAM,8.911666e-06
AMGN,8.88956e-06
CBRE,7.563043e-06
MLM,7.2130033e-06
LYV,7.0350034e-06
TSCO,6.5407016e-06
EA,6.534288e-06
CE,6.2646395e-06
PKG,6.260608e-06
RL,5.8262763e-06
KO,5.813641e-06
CRM,5.7976263e-06
LLY,5.786047e-06
GE,5.6794106e-06
IFF,5.5512187e-06
V,5.4359366e-06
ILMN,5.3456097e-06
TT,5.2068463e-06
NFLX,5.1591924e-06
BAC,5.0081417e-06
GS,4.5918428e-06
RCL,4.488109e-06
CEG,4.4038998e-06
META,4.300435e-06
HBAN,4.2011084e-06
ADSK,4.0695254e-06
REGN,4.0213363e-06
PFG,3.9761653e-06
NRG,3.9385404e-06
JNJ,3.8415046e-06
TMO,3.636427e-06
NEM,3.4699317e-06
RVTY,3.464358e-06
TSN,3.4098493e-06
QRVO,3.402898e-06
MSCI,3.1496838e-06
PRU,3.094635e-06
