,Weight
Cash,0.9071833
MPWR,0.022626616
FICO,0.016613241
MTD,0.009342618
BKNG,0.009104361
NVR,0.006144397
ESS,0.005845167
AIZ,0.0056154206
TDY,0.005096755
AMP,0.005004135
WAT,0.0031267076
FDS,0.0017570255
TRGP,0.0014865928
IRM,0.0004851269
GRMN,0.00026204626
IP,0.00017761662
ZBRA,4.474332e-05
ABBV,1.9971296e-05
FFIV,1.6136553e-05
T,1.3311766e-05
AZO,4.3865894e-06
IBM,4.0071554e-06
WMB,3.9910556e-06
PM,3.6466922e-06
PTC,2.7663414e-06
JPM,2.6036014e-06
WMT,2.3566608e-06
ETR,1.069713e-06
ICE,7.704204e-07
LIN,7.4128434e-07
WAB,6.038306e-07
COST,5.9120225e-07
SO,4.237599e-07
CME,3.9968927e-07
AXON,3.0865195e-07
WFC,2.911496e-07
AFL,2.8195328e-07
GILD,2.4357234e-07
RSG,1.6991477e-07
INTU,1.2882425e-07
CMI,9.70248e-08
NI,9.198173e-08
TMUS,8.859482e-08
WTW,7.6296615e-08
ECL,7.519584e-08
AMGN,7.427734e-08
DUK,6.690666e-08
URI,6.6227344e-08
AKAM,6.334275e-08
PPL,5.926963e-08
AVGO,5.6990928e-08
AON,5.690102e-08
PEG,5.5581186e-08
CE,5.2173277e-08
LLY,5.1020795e-08
RL,4.856034e-08
MLM,4.8384305e-08
EBAY,4.826914e-08
POOL,4.6718007e-08
BR,4.6065356e-08
CEG,4.4445176e-08
RVTY,4.1115328e-08
TSCO,4.1099227e-08
GEN,3.9501085e-08
TFX,3.907602e-08
SNA,3.8947384e-08
NDAQ,3.88656e-08
MCO,3.8853035e-08
ANET,3.870444e-08
KEYS,3.8509476e-08
REGN,3.8211514e-08
TDG,3.7670723e-08
PANW,3.635462e-08
MOH,3.5254843e-08
IT,3.4236358e-08
TYL,3.363675e-08
NVDA,3.3413436e-08
HIG,3.3126025e-08
NRG,3.0995434e-08
TRV,3.025621e-08
MSCI,3.012581e-08
PNR,3.0092252e-08
HLT,2.9017903e-08
LDOS,2.8567502e-08
AMZN,2.808429e-08
ZION,2.6977272e-08
DHR,2.5397318e-08
PNC,2.4835257e-08
AXP,2.4368656e-08
MRNA,2.4190532e-08
J,2.4101999e-08
GE,2.4050413e-08
BIO,2.3779375e-08
VRTX,2.3310209e-08
GWW,2.3000975e-08
STE,2.2379975e-08
EQIX,2.182027e-08
MA,2.1576396e-08
AVY,2.120741e-08
KEY,2.0404208e-08
META,2.0073182e-08
SPG,2.006384e-08
INTC,1.9593111e-08
LNT,1.916942e-08
PKG,1.9121677e-08
KMI,1.8983343e-08
JNJ,1.8880003e-08
BLK,1.8684975e-08
OKE,1.8605505e-08
PSX,1.8341089e-08
AMD,1.83112e-08
VTRS,1.8153655e-08
BAC,1.8100796e-08
MAR,1.8041217e-08
QCOM,1.783962e-08
MCK,1.7799605e-08
GS,1.7167663e-08
NWL,1.6699904e-08
PRU,1.6642199e-08
CSCO,1.6025398e-08
CTAS,1.6012988e-08
IFF,1.578126e-08
ADSK,1.5596587e-08
A,1.53364e-08
ALL,1.5312072e-08
TRMB,1.516835e-08
MSFT,1.5041872e-08
QRVO,1.4870621e-08
PFG,1.4861068e-08
TSN,1.4716775e-08
CRM,1.4416979e-08
AJG,1.4160265e-08
FTNT,1.4075069e-08
MPC,1.3901346e-08
LH,1.3812766e-08
CRL,1.3565216e-08
DTE,1.3552669e-08
TT,1.3479873e-08
EPAM,1.333233e-08
PAYC,1.3185564e-08
V,1.309229e-08
L,1.3019526e-08
ADBE,1.2913203e-08
SRE,1.2911015e-08
ACN,1.2808722e-08
EXPE,1.2674067e-08
GNRC,1.2669341e-08
