,Weight
WAB,0.013605255
IRM,0.013604855
PTC,0.013604516
FFIV,0.013604225
TRGP,0.013603633
GRMN,0.013603593
IP,0.013601345
IBM,0.013601343
LIN,0.013600004
ETR,0.013596784
COST,0.013596363
ICE,0.013592102
WMB,0.013591523
CME,0.013582402
INTU,0.01357726
MCO,0.013576833
AVGO,0.013565188
AFL,0.013559723
ANET,0.013546534
FI,0.013544845
T,0.013541583
AZO,0.013526902
TRMB,0.013524962
RSG,0.013523141
JPM,0.0135227125
AMZN,0.013507748
ECL,0.013498753
WTW,0.013494365
MSFT,0.013491388
AXON,0.013445481
CMI,0.013434062
WFC,0.013428046
ABBV,0.013425608
WMT,0.013386229
EBAY,0.013363718
GILD,0.013338725
PANW,0.013255465
BR,0.013244681
MOH,0.013235075
FTNT,0.013217987
PPL,0.01320348
SO,0.013195122
PEG,0.013175375
RVTY,0.013170729
TRV,0.0131660225
GE,0.01313943
GWW,0.013115115
LYV,0.01306003
HLT,0.013054842
META,0.013031193
VTRS,0.013003973
ADSK,0.013002574
AON,0.012991128
TMUS,0.012989845
PM,0.012988608
AXP,0.012837629
RL,0.012808635
MLM,0.012751113
KEYS,0.012689195
KMI,0.012533125
KO,0.012492259
NFLX,0.012466353
LLY,0.012442134
GEN,0.012347729
NVDA,0.012098057
TSCO,0.012070516
KR,0.012065531
TYL,0.011925729
EA,0.011881874
DGX,0.011848061
NI,0.011729237
MCK,0.011579368
SPG,0.010803288
PNC,0.009249116
PKG,0.008062912
DUK,0.00792995
AAPL,0.0059045795
CL,0.005657084
URI,0.004313574
MRNA,0.0021307964
J,0.000345641
RCL,0.00022490346
Cash,0.0001327931
AMGN,4.960154e-05
SNA,3.9518138e-05
ALK,3.2020733e-05
CBRE,2.4871784e-05
JNJ,1.957905e-05
NDAQ,1.33410995e-05
BSX,1.1511952e-05
CSCO,9.122718e-06
DHR,7.6462575e-06
GOOGL,5.5608707e-06
A,4.543087e-06
PNR,2.27061e-06
TSN,1.7006918e-06
MA,1.3431277e-06
DE,5.7290447e-07
STE,5.5324006e-07
MAR,4.5773186e-07
OKE,4.4036193e-07
REGN,3.898872e-07
HIG,3.1836092e-07
LNT,3.0843597e-07
SWKS,2.479936e-07
EXPE,2.3560973e-07
CEG,1.01256575e-07
NRG,2.3740446e-08
PCG,2.1671822e-08
MHK,1.39021585e-08
ADI,9.583244e-09
PAYX,7.684923e-09
ILMN,7.375499e-09
PAYC,6.459503e-09
V,4.5390776e-09
APD,3.2122376e-09
DIS,2.9465201e-09
SRE,2.9390168e-09
IFF,2.932415e-09
ZION,2.1185345e-09
CRM,1.4180007e-09
ROP,1.070091e-09
VTR,9.573583e-10
BK,7.0874345e-10
MS,4.798234e-10
AKAM,4.512116e-10
LH,4.3335008e-10
KMX,4.1287943e-10
FOXA,3.5957426e-10
NEM,3.2213276e-10
TT,2.9156416e-10
VRTX,2.6882344e-10
VRSK,1.8694979e-10
CTAS,1.6374146e-10
RJF,1.4108903e-10
DTE,1.15741326e-10
GLW,1.1291169e-10
PG,1.0978412e-10
BAC,1.0667503e-10
MCD,1.0173638e-10
EW,9.8909776e-11
KEY,9.570082e-11
HBAN,9.071753e-11
FTV,7.581302e-11
TMO,7.1997096e-11
EMR,6.796689e-11
CNP,6.29407e-11
MET,6.0610864e-11
BRK.B,6.02169e-11
SYF,5.7468776e-11
FIS,5.6709287e-11
PFG,5.656676e-11
AJG,5.282917e-11
STT,5.2135296e-11
AEE,4.094762e-11
ABT,3.5343374e-11
DVA,3.4422493e-11
MMM,3.2286996e-11
MMC,3.1646654e-11
MO,2.8607266e-11
CPB,2.7652866e-11
TXT,2.7026296e-11
QCOM,2.7021928e-11
ETN,2.4702289e-11
CINF,2.4088084e-11
TTWO,2.4082014e-11
PNW,2.3775693e-11
TJX,2.3604643e-11
EVRG,2.329213e-11
NEE,2.129953e-11
AMT,2.1215429e-11
OTIS,1.7545892e-11
IR,1.5192358e-11
GNRC,1.4582432e-11
PRU,1.4330794e-11
HOLX,1.12578375e-11
ROK,1.09357445e-11
BRO,9.821404e-12
ISRG,9.654113e-12
KMB,9.387639e-12
GL,8.547846e-12
MSCI,8.1332744e-12
MTB,7.849151e-12
EQT,7.6359865e-12
PSA,7.369474e-12
WRB,7.1984333e-12
ORCL,6.7916484e-12
HUM,6.3820104e-12
NTAP,6.1415135e-12
CFG,6.0783067e-12
PWR,6.0169794e-12
NTRS,5.7598748e-12
L,4.7747652e-12
KHC,4.7084363e-12
EFX,4.62344e-12
EIX,4.411366e-12
ROL,4.3595496e-12
ACN,4.283283e-12
LUV,4.1842285e-12
TECH,4.108299e-12
HRL,3.969575e-12
CDW,3.6283845e-12
PEP,3.6271262e-12
AVB,3.467736e-12
CMS,3.372979e-12
YUM,3.261351e-12
TER,3.1308526e-12
NKE,3.0928539e-12
FE,3.0028079e-12
VLO,2.9116204e-12
DLR,2.7550046e-12
ATO,2.3057272e-12
FRT,2.249873e-12
ADBE,2.2100741e-12
EQR,2.0891012e-12
MDT,2.0480822e-12
C,2.0247233e-12
CAT,2.0224451e-12
WST,1.9278181e-12
HD,1.7456385e-12
TFX,1.6956987e-12
RF,1.6184182e-12
MSI,1.518254e-12
CPRT,1.4990184e-12
LOW,1.4859777e-12
FDX,1.3902744e-12
VZ,1.3552526e-12
MKTX,1.1919547e-12
LEN,1.1461717e-12
QRVO,1.1389367e-12
WEC,1.1341076e-12
CHTR,9.141235e-13
KDP,8.7362523e-13
AEP,8.6967646e-13
WELL,8.315936e-13
INVH,8.2617035e-13
PYPL,7.4158697e-13
D,7.216464e-13
APH,6.6744456e-13
INCY,6.6416355e-13
UNH,5.8967143e-13
GIS,5.312423e-13
IVZ,5.233101e-13
DOV,5.218195e-13
TFC,5.198899e-13
SCHW,5.162257e-13
HON,4.808457e-13
JBHT,4.6491755e-13
CARR,4.5238577e-13
USB,4.379625e-13
VICI,4.1412056e-13
RHI,3.9870716e-13
EXC,3.921001e-13
HPQ,3.773308e-13
BIO,3.26224e-13
XOM,3.1158678e-13
CF,3.0217444e-13
GPN,2.993208e-13
HPE,2.5777338e-13
EXPD,2.5310795e-13
DXCM,2.2555437e-13
CB,2.2318084e-13
UAL,2.226169e-13
PH,2.2113242e-13
VFC,2.1801416e-13
DXC,2.0501702e-13
MKC,1.9217321e-13
NOW,1.9020445e-13
RTX,1.8201205e-13
KLAC,1.7434844e-13
UHS,1.5571431e-13
HWM,1.4753083e-13
GS,1.4689428e-13
NXPI,1.4375443e-13
HCA,1.4366232e-13
ORLY,1.4211439e-13
NOC,1.3036486e-13
WDC,1.2947185e-13
CHRW,1.2675523e-13
PCAR,1.1950971e-13
STZ,1.1785553e-13
LNC,1.1709165e-13
UNP,1.1407387e-13
JKHY,1.1117691e-13
BXP,1.11168256e-13
IDXX,1.1003228e-13
IQV,1.0572513e-13
O,1.03668525e-13
SYY,9.676249e-14
COF,9.416048e-14
VMC,9.205697e-14
CRL,9.2051204e-14
TROW,8.094065e-14
CVS,7.681854e-14
AAP,7.663181e-14
ZTS,7.5446336e-14
ALL,7.471248e-14
CAH,7.0279055e-14
CLX,6.861718e-14
LW,6.8283005e-14
FITB,6.699327e-14
CPT,5.9454184e-14
CHD,5.8341305e-14
BKR,5.760401e-14
NWSA,5.5266674e-14
FMC,5.4133662e-14
HSY,5.3811895e-14
AMAT,5.193323e-14
UDR,5.162418e-14
CMG,5.1546065e-14
TXN,4.9723846e-14
CAG,4.7954204e-14
ELV,4.7625342e-14
RMD,4.5648716e-14
SHW,4.44083e-14
ENPH,4.0924343e-14
NWL,4.066354e-14
MAA,3.9753604e-14
FSLR,3.9443522e-14
PHM,3.89593e-14
STLD,3.7887184e-14
CI,3.6876433e-14
WBD,3.5535096e-14
EXR,3.5282402e-14
BLK,3.5256e-14
PSX,3.3468518e-14
CTVA,3.1586208e-14
CMA,3.075317e-14
SWK,3.033872e-14
MAS,2.7788149e-14
XEL,2.7470007e-14
AOS,2.3971654e-14
ES,2.245333e-14
AIG,2.2005184e-14
SPGI,2.0594449e-14
ADM,2.0435027e-14
F,2.0116477e-14
BIIB,1.9860874e-14
SYK,1.7458969e-14
MRK,1.7427957e-14
BG,1.7356821e-14
BALL,1.6807258e-14
ADP,1.6474655e-14
MNST,1.6427992e-14
CNC,1.6399325e-14
FAST,1.6106372e-14
EQIX,1.5612892e-14
AWK,1.5373275e-14
DRI,1.512532e-14
BMY,1.4935837e-14
TSLA,1.4603585e-14
WBA,1.438549e-14
CBOE,1.4086876e-14
TPR,1.365127e-14
CVX,1.3643579e-14
MPC,1.322067e-14
GM,1.25426555e-14
ACGL,1.21103265e-14
COO,1.17009775e-14
LRCX,1.1388543e-14
GD,1.095572e-14
SBUX,1.07889915e-14
NSC,1.0078016e-14
DPZ,9.9652655e-15
BWA,9.731167e-15
DHI,9.0943725e-15
CCI,9.006685e-15
HAL,8.545379e-15
PODD,8.194685e-15
ALLE,8.102739e-15
ETSY,8.042937e-15
BDX,8.037033e-15
DAL,7.717172e-15
CDNS,7.548765e-15
APTV,7.3653885e-15
DD,7.214672e-15
EPAM,6.8248816e-15
HSIC,6.2890007e-15
LVS,6.0384454e-15
SJM,6.011644e-15
NDSN,5.4501454e-15
MU,4.9793336e-15
ULTA,4.596782e-15
CTSH,4.5542298e-15
HST,4.2386266e-15
OMC,4.211136e-15
OGN,4.0064163e-15
SBAC,3.9971095e-15
ITW,3.9769747e-15
UPS,3.835083e-15
AME,3.5704853e-15
JCI,3.5672437e-15
BA,3.4256594e-15
ED,3.35059e-15
LMT,3.1702446e-15
EL,3.0400597e-15
PFE,2.7543299e-15
FCX,2.5936405e-15
TAP,2.4308075e-15
STX,2.3213272e-15
KIM,2.1960015e-15
IEX,2.109953e-15
ARE,1.9845878e-15
INTC,1.8423003e-15
EMN,1.8266515e-15
ODFL,1.7534809e-15
NCLH,1.7351697e-15
ZBH,1.6238985e-15
TGT,1.5698603e-15
AAL,1.4943322e-15
BBY,1.4310791e-15
SEDG,1.3365087e-15
PARA,1.2697885e-15
TDG,1.2672804e-15
CSX,1.1514622e-15
FANG,1.0683007e-15
ON,1.0635944e-15
IT,1.0266649e-15
XYL,9.919985e-16
BF.B,9.71258e-16
PGR,9.262657e-16
MGM,8.8045824e-16
K,8.1436437e-16
PPG,7.991304e-16
MCHP,7.917935e-16
AMCR,7.9057127e-16
AVY,7.50424e-16
WM,7.306879e-16
AMD,6.7152936e-16
CMCSA,6.293884e-16
SEE,6.2038625e-16
DG,6.0179256e-16
ANSS,5.9994947e-16
MDLZ,5.8086e-16
ALGN,5.6225174e-16
WY,3.9166692e-16
REG,3.7051106e-16
XRAY,3.4047066e-16
HII,3.2809774e-16
MTCH,3.0615498e-16
VRSN,2.883034e-16
PLD,2.631539e-16
WHR,2.619907e-16
CSGP,2.5783535e-16
HAS,2.0445532e-16
DLTR,1.8231262e-16
TEL,1.597107e-16
COP,1.4146411e-16
DVN,1.4050486e-16
LDOS,1.2840789e-16
GEHC,9.521392e-17
AES,9.3606485e-17
OXY,8.4177876e-17
EOG,7.851665e-17
BBWI,7.749456e-17
WYNN,7.345355e-17
LHX,5.2564482e-17
SLB,4.9061697e-17
ROST,4.1096077e-17
LKQ,4.0043195e-17
SNPS,3.6915605e-17
GPC,3.689403e-17
HES,3.348459e-17
BAX,3.3064206e-17
CE,2.9946995e-17
ALB,2.7175583e-17
CCL,1.5371704e-17
IPG,1.4579679e-17
APA,1.4145017e-17
BEN,1.0276904e-17
MOS,4.6986378e-18
DOW,1.585149e-18
NUE,9.965693e-19
CTRA,7.117163e-19
LYB,6.4436574e-19
CZR,8.686368e-20
