,Weight
MPWR,0.51543325
Cash,0.47969854
MTD,0.004855843
FICO,1.0042177e-05
BKNG,2.324389e-06
GRMN,4.884908e-10
PTC,2.2904335e-10
FFIV,1.8590551e-10
IP,8.890841e-11
IBM,6.266777e-12
TRGP,1.6657581e-12
AMP,1.0387291e-12
IRM,9.404827e-13
PM,8.0936007e-13
JPM,7.6530763e-13
WAB,6.8019543e-13
ICE,6.448014e-13
ZBRA,6.3991114e-13
URI,5.948076e-13
LIN,5.576616e-13
FDS,4.77397e-13
NVR,4.6575086e-13
AKAM,4.432846e-13
CE,4.33919e-13
WAT,4.2833754e-13
AXON,3.5844632e-13
MSCI,2.9725362e-13
MLM,2.902358e-13
ZION,2.700738e-13
WFC,2.6334525e-13
AVGO,2.628164e-13
IT,2.6019922e-13
INTC,2.5938366e-13
NWL,2.5725366e-13
PNR,2.4879477e-13
CEG,2.454197e-13
INTU,2.373969e-13
POOL,2.3050317e-13
CMI,2.2029923e-13
KEYS,2.1615895e-13
ANET,2.1428295e-13
COST,1.9796735e-13
KEY,1.9771291e-13
REGN,1.9440134e-13
AIZ,1.769735e-13
SLB,1.7652762e-13
ACN,1.6903357e-13
AMGN,1.5917165e-13
PSX,1.5812564e-13
BR,1.5440367e-13
TDG,1.5196514e-13
BLK,1.5093885e-13
DHR,1.4932017e-13
HAL,1.489002e-13
EQIX,1.4679008e-13
MCO,1.4644609e-13
ADBE,1.4412359e-13
MU,1.4243457e-13
EBAY,1.3933687e-13
NRG,1.3857996e-13
AZO,1.3795689e-13
QRVO,1.3615293e-13
RHI,1.3582663e-13
MA,1.3484942e-13
GEN,1.3467244e-13
AFL,1.3071739e-13
ABBV,1.2715232e-13
NVDA,1.2659925e-13
MAR,1.254089e-13
NDAQ,1.2488133e-13
APH,1.2223454e-13
STE,1.2170153e-13
COP,1.2138283e-13
CME,1.2032007e-13
V,1.1803628e-13
WMB,1.1642884e-13
AMZN,1.1480487e-13
MPC,1.1021841e-13
PAYC,1.0942112e-13
APA,1.0881005e-13
LLY,1.0806789e-13
SPG,1.0796427e-13
EOG,1.0727538e-13
CTAS,1.0467885e-13
AXP,1.02776443e-13
CARR,1.01966605e-13
PRU,1.0169906e-13
AVY,1.01379564e-13
PFG,9.93181e-14
FANG,9.815988e-14
BKR,9.620374e-14
A,9.529423e-14
HLT,9.4610544e-14
GWW,9.3864485e-14
CSCO,9.291979e-14
RVTY,9.240988e-14
GS,9.2311866e-14
TDY,9.1808864e-14
TT,9.128509e-14
EPAM,9.1049706e-14
LH,9.078976e-14
CBRE,9.021626e-14
PCAR,8.9520866e-14
PWR,8.9122774e-14
CRM,8.902098e-14
ADI,8.794906e-14
PH,8.7918855e-14
TYL,8.756866e-14
ESS,8.737825e-14
AMD,8.6814846e-14
BIO,8.642309e-14
USB,8.587557e-14
ETN,8.562469e-14
RL,8.5611795e-14
TMO,8.5536816e-14
IDXX,8.467552e-14
LRCX,8.437289e-14
PHM,8.428966e-14
QCOM,8.411214e-14
PNC,8.1298405e-14
OKE,8.069268e-14
CBOE,8.052595e-14
BXP,8.014204e-14
SNA,7.991942e-14
KLAC,7.9906696e-14
J,7.877013e-14
HIG,7.7867597e-14
FCX,7.765367e-14
ADSK,7.6854986e-14
RSG,7.679755e-14
TFX,7.593556e-14
NDSN,7.563924e-14
DLR,7.521554e-14
WMT,7.422995e-14
CAT,7.408206e-14
VTRS,7.2885864e-14
PKG,7.258023e-14
RJF,7.23838e-14
ANSS,7.235048e-14
CFG,7.2287174e-14
MOH,7.2143754e-14
HES,7.2069825e-14
CDW,7.205702e-14
GNRC,7.199717e-14
FRT,7.198834e-14
ILMN,7.1643714e-14
MET,7.037508e-14
MHK,7.029524e-14
CVS,7.010157e-14
VRTX,6.888244e-14
EXPE,6.8850585e-14
VLO,6.8780736e-14
SYF,6.793843e-14
FTV,6.707765e-14
EXPD,6.695717e-14
REG,6.634329e-14
STX,6.622768e-14
VRSK,6.618515e-14
ETR,6.579877e-14
WDC,6.4593784e-14
MGM,6.436719e-14
MMM,6.435612e-14
CRL,6.434044e-14
ACGL,6.4320924e-14
META,6.400891e-14
DUK,6.353534e-14
DE,6.347137e-14
SWKS,6.3466776e-14
MKTX,6.345668e-14
PPL,6.277394e-14
TSCO,6.203998e-14
GE,6.1927284e-14
TSN,6.1824176e-14
GPN,6.1470055e-14
IQV,6.121092e-14
ALGN,6.011394e-14
NFLX,5.946094e-14
SPGI,5.920405e-14
EFX,5.907009e-14
PAYX,5.7806475e-14
L,5.7665854e-14
BAC,5.7582486e-14
CHTR,5.7410775e-14
ECL,5.739856e-14
UNP,5.725382e-14
LDOS,5.720541e-14
PANW,5.6550945e-14
GILD,5.6178637e-14
SO,5.5778034e-14
EIX,5.523798e-14
TER,5.5162048e-14
LEN,5.5112534e-14
TFC,5.508947e-14
IFF,5.4342876e-14
LYV,5.4150728e-14
ALL,5.3973715e-14
VTR,5.3499614e-14
HBAN,5.349881e-14
IR,5.3406142e-14
ALK,5.2834348e-14
NTAP,5.2815283e-14
NEM,5.2710643e-14
HD,5.252562e-14
ADP,5.2505306e-14
ORCL,5.2364878e-14
TRMB,5.2114265e-14
CB,5.1992664e-14
GOOGL,5.1492258e-14
CTRA,5.1489798e-14
PNW,5.0932975e-14
ENPH,5.0780598e-14
AON,5.037415e-14
TXN,5.014968e-14
PYPL,4.9903536e-14
HII,4.9878684e-14
EXR,4.9684005e-14
VFC,4.917443e-14
ROL,4.902625e-14
DD,4.8827556e-14
SRE,4.8731723e-14
CMA,4.8524136e-14
DGX,4.8076438e-14
IEX,4.7977698e-14
KMI,4.778372e-14
PLD,4.7481282e-14
ETSY,4.729669e-14
CMG,4.7051708e-14
ROK,4.704462e-14
JKHY,4.7027174e-14
MAS,4.674739e-14
NOW,4.6474512e-14
CF,4.643352e-14
NXPI,4.6301172e-14
EQT,4.6154893e-14
APD,4.6003986e-14
MMC,4.5938347e-14
JBHT,4.5672023e-14
ATO,4.558341e-14
LUV,4.553169e-14
SWK,4.5373427e-14
AJG,4.526161e-14
JNJ,4.520881e-14
FDX,4.520683e-14
CMS,4.498718e-14
LNT,4.4469897e-14
WRB,4.4453126e-14
PSA,4.406356e-14
AEE,4.3957415e-14
TECH,4.37623e-14
WHR,4.34662e-14
CI,4.316743e-14
AVB,4.2763373e-14
PEG,4.2611632e-14
GD,4.2210837e-14
FITB,4.1406687e-14
DHI,4.1374886e-14
ED,4.135633e-14
NI,4.113017e-14
MSFT,4.0747848e-14
ON,4.0344945e-14
NEE,4.0078296e-14
MTCH,3.9636307e-14
D,3.9627125e-14
OMC,3.9538065e-14
MCHP,3.9307096e-14
FTNT,3.9197588e-14
MTB,3.904735e-14
ISRG,3.8884057e-14
SHW,3.8692424e-14
ALLE,3.8524854e-14
DTE,3.8443322e-14
OXY,3.832676e-14
EA,3.827777e-14
EXC,3.817432e-14
MS,3.8028747e-14
PGR,3.758009e-14
INVH,3.745741e-14
CZR,3.7424806e-14
WELL,3.733575e-14
DVN,3.7118756e-14
NTRS,3.7024935e-14
O,3.6964657e-14
EVRG,3.6854356e-14
CNP,3.6799706e-14
STT,3.659844e-14
PFE,3.5850456e-14
RF,3.5490643e-14
FI,3.5260403e-14
AWK,3.5206016e-14
