,Weight
Cash,0.81483763
BKNG,0.052438434
FICO,0.02480906
NVR,0.022647837
MPWR,0.019550735
AZO,0.01927807
TDG,0.017195936
MTD,0.01594691
GWW,0.013172202
BLK,1.37879815e-05
URI,1.1577752e-05
AMP,1.094561e-05
IRM,4.4019457e-06
COST,3.49969e-06
GRMN,3.4072284e-06
IBM,3.1981392e-06
JPM,2.8932045e-06
LIN,2.6467094e-06
REGN,1.9127824e-06
INTU,1.8837832e-06
FDS,1.8665198e-06
LLY,1.5863366e-06
PTC,1.5545689e-06
MLM,1.510817e-06
EQIX,1.4633735e-06
FFIV,1.411953e-06
MSCI,1.0641046e-06
TDY,1.0035761e-06
WAT,9.610063e-07
IT,8.09581e-07
MCO,7.6467535e-07
ZBRA,7.512705e-07
ICE,7.232606e-07
WAB,7.089573e-07
CMI,6.580365e-07
TRGP,6.433862e-07
KLAC,6.242678e-07
TYL,5.698519e-07
MA,5.6093955e-07
AMGN,5.3582005e-07
CE,5.307672e-07
ADBE,4.9980173e-07
AKAM,4.9361756e-07
TMO,4.884498e-07
GS,4.840831e-07
META,4.834008e-07
AVGO,4.8092426e-07
POOL,4.8089527e-07
CEG,4.7545905e-07
IP,4.7541468e-07
AXON,4.578427e-07
PM,4.3890176e-07
MOH,4.378124e-07
AON,4.3579143e-07
ABBV,4.1248558e-07
ECL,3.9020054e-07
VRTX,3.8383615e-07
AMZN,3.788622e-07
DHR,3.7398718e-07
NFLX,3.648263e-07
KEYS,3.6413422e-07
ACN,3.5672926e-07
PH,3.5455813e-07
IDXX,3.378043e-07
MSFT,3.3067704e-07
CRM,3.3033157e-07
RSG,3.2682095e-07
TT,3.1303534e-07
NVDA,3.112429e-07
GE,3.106806e-07
AIZ,2.9694607e-07
QCOM,2.933818e-07
AXP,2.7906967e-07
NOW,2.743508e-07
V,2.728094e-07
ADSK,2.6697427e-07
ESS,2.667842e-07
UNH,2.6606185e-07
ETN,2.63875e-07
SPGI,2.6370193e-07
LDOS,2.5902872e-07
PSX,2.5710455e-07
CME,2.5635975e-07
AMD,2.5299275e-07
CAT,2.4557073e-07
MCK,2.4324007e-07
CHTR,2.3816771e-07
DE,2.3490318e-07
WFC,2.3294939e-07
MAR,2.2541549e-07
STE,2.2212465e-07
ANET,2.1655082e-07
BIO,2.1576957e-07
HLT,2.1354192e-07
ROP,2.1299186e-07
ADI,2.1195972e-07
MPC,2.0697122e-07
RL,2.0670228e-07
LH,2.0473139e-07
AVY,2.032296e-07
PANW,2.0287652e-07
TRV,2.0155723e-07
PNC,2.0094136e-07
BR,1.9808361e-07
FANG,1.9183841e-07
TMUS,1.8763842e-07
PAYC,1.8316078e-07
AJG,1.8266697e-07
ANSS,1.8168254e-07
SHW,1.8152073e-07
AFL,1.7366517e-07
CDW,1.7344556e-07
HD,1.7161061e-07
PKG,1.7147529e-07
SNA,1.6878676e-07
EPAM,1.6858738e-07
CB,1.6738406e-07
SPG,1.6596151e-07
PWR,1.6414064e-07
CI,1.6382569e-07
CRL,1.62761e-07
APD,1.596873e-07
PGR,1.5967738e-07
MKTX,1.5920298e-07
TFX,1.5907338e-07
GOOGL,1.573387e-07
VRSK,1.5619193e-07
PNR,1.5367863e-07
QRVO,1.4879818e-07
MU,1.4767069e-07
WTW,1.4701531e-07
VLO,1.4532964e-07
IQV,1.4497415e-07
ISRG,1.4231291e-07
EFX,1.3935392e-07
PSA,1.3797876e-07
NRG,1.379086e-07
CBOE,1.3714983e-07
EOG,1.369786e-07
ROK,1.3676765e-07
RVTY,1.3668202e-07
GNRC,1.3593798e-07
WST,1.3511936e-07
A,1.3288674e-07
COP,1.3275113e-07
PRU,1.3228829e-07
ALL,1.3122153e-07
CTAS,1.309716e-07
UNP,1.2833917e-07
DUK,1.2775554e-07
DLR,1.2755092e-07
BRK.B,1.2675083e-07
HIG,1.2607491e-07
JNJ,1.2567705e-07
ALGN,1.2434826e-07
FI,1.220353e-07
FDX,1.1953621e-07
J,1.18655414e-07
EXPE,1.1814187e-07
ADP,1.1810761e-07
RJF,1.17820356e-07
SO,1.16755146e-07
