,Weight
Cash,0.8490227
MPWR,0.02860315
FICO,0.0059311236
JPM,9.3036834e-07
WFC,3.0684785e-07
IP,1.9336791e-07
ZION,1.8211077e-07
KEY,1.7415618e-07
HBAN,1.2840395e-07
FITB,8.280232e-08
BAC,8.223683e-08
TFC,7.139071e-08
EBAY,7.07719e-08
PSX,6.280536e-08
USB,4.9938844e-08
PNC,4.7930587e-08
NWL,4.6686466e-08
GEN,4.6376872e-08
SLB,3.8715662e-08
INTC,3.812762e-08
CFG,3.5459813e-08
SYF,2.9421548e-08
RF,2.8727541e-08
QCOM,2.785602e-08
ZBRA,2.5638547e-08
HAL,2.5295584e-08
MET,2.2686317e-08
MPC,2.2406965e-08
ANET,2.082535e-08
MU,1.9572381e-08
IBM,1.8875259e-08
APA,1.8663702e-08
SCHW,1.8178506e-08
GS,1.8106078e-08
WMB,1.7937095e-08
URI,1.782057e-08
BXP,1.6326204e-08
COP,1.6118967e-08
CMA,1.507038e-08
NVDA,1.4613159e-08
PRU,1.3769539e-08
CE,1.34902605e-08
CARR,1.3169309e-08
BKNG,1.3053472e-08
OKE,1.3028917e-08
PCAR,1.2660397e-08
EXPE,1.2130022e-08
NDAQ,1.2066447e-08
AMGN,1.203207e-08
FANG,1.1590714e-08
QRVO,1.1551515e-08
ADBE,1.14810925e-08
VLO,1.1474435e-08
AXP,1.0704046e-08
EOG,1.0470918e-08
IRM,1.0421223e-08
AVGO,1.0027143e-08
MS,9.878185e-09
ICE,9.0366505e-09
WAT,8.915666e-09
CZR,8.710987e-09
POOL,8.69559e-09
VFC,8.611621e-09
WDC,8.592187e-09
MSCI,8.5816545e-09
IVZ,8.511102e-09
MMM,7.997312e-09
CAT,7.936914e-09
PHM,7.889181e-09
AFL,7.826634e-09
CEG,7.680995e-09
INTU,7.5946796e-09
SWK,7.3194344e-09
PNR,7.3170807e-09
MHK,7.0182846e-09
PAYX,6.9168427e-09
AKAM,6.8414536e-09
TRGP,6.807148e-09
MTD,6.637614e-09
MGM,6.5962302e-09
DHR,6.5434116e-09
RHI,6.2644463e-09
CRM,6.2540964e-09
COF,6.2270082e-09
CSCO,6.1061667e-09
BKR,6.063766e-09
EPAM,5.847865e-09
PTC,5.7658003e-09
CBRE,5.4190052e-09
MAS,5.4049245e-09
FDS,5.296719e-09
ACN,5.2792517e-09
AMD,5.24916e-09
PYPL,5.2416196e-09
ENPH,5.167845e-09
GNRC,5.1384754e-09
ETSY,5.072555e-09
NVR,5.0515894e-09
FFIV,5.0007034e-09
REGN,4.976408e-09
VTRS,4.9633697e-09
RVTY,4.9524527e-09
PFG,4.9094666e-09
C,4.747832e-09
ADI,4.7138147e-09
TSN,4.6841526e-09
AMZN,4.68311e-09
TMO,4.628897e-09
FCX,4.615357e-09
IDXX,4.56289e-09
HES,4.5439954e-09
BK,4.5374406e-09
LEN,4.474928e-09
STX,4.4461803e-09
FSLR,4.3967416e-09
UNP,4.3664135e-09
SPGI,4.3154404e-09
ETN,4.3040056e-09
DVN,4.2842054e-09
CTRA,4.2736756e-09
APH,4.2535224e-09
BIO,4.1705843e-09
SWKS,4.138652e-09
ON,4.0868007e-09
STE,3.9547214e-09
NFLX,3.9089247e-09
EQT,3.8739887e-09
IT,3.8597427e-09
MTCH,3.8568957e-09
CF,3.8372394e-09
A,3.805382e-09
JBHT,3.7909698e-09
KLAC,3.749622e-09
META,3.73012e-09
MCHP,3.7114716e-09
MLM,3.6985344e-09
ESS,3.6110108e-09
LYV,3.5583596e-09
ILMN,3.5270158e-09
AVY,3.522153e-09
HD,3.5206904e-09
SNA,3.5101775e-09
IFF,3.4941492e-09
OXY,3.4917877e-09
NRG,3.4362788e-09
FTV,3.402494e-09
ETR,3.3801661e-09
AIG,3.3588956e-09
SPG,3.3585765e-09
TXN,3.3508603e-09
PH,3.345659e-09
ALGN,3.3403726e-09
DHI,3.3165917e-09
PAYC,3.3074652e-09
AIZ,3.2477874e-09
AAP,3.2414884e-09
FRT,3.2247574e-09
CME,3.2085268e-09
DLR,3.208355e-09
MTB,3.1982414e-09
ACGL,3.1761662e-09
LUV,3.1729248e-09
ALL,3.1342213e-09
IR,3.088148e-09
EFX,3.0504765e-09
HPQ,3.0390999e-09
NTAP,3.0221243e-09
BLK,3.0204452e-09
GILD,3.0154022e-09
MKTX,3.0055969e-09
CMI,2.9931078e-09
SEE,2.9558014e-09
GPN,2.9557505e-09
TECH,2.9530816e-09
KEYS,2.9156892e-09
ORCL,2.8928286e-09
ROK,2.832395e-09
COST,2.824493e-09
OTIS,2.8238327e-09
LRCX,2.7817526e-09
ALK,2.7779195e-09
CRL,2.7679852e-09
WHR,2.7592169e-09
DUK,2.734835e-09
ALLE,2.7252858e-09
TT,2.7102907e-09
ABBV,2.6992424e-09
BEN,2.6837799e-09
ANSS,2.6560907e-09
DD,2.6477722e-09
LNC,2.614554e-09
CHTR,2.614471e-09
V,2.613053e-09
TFX,2.6000258e-09
AMP,2.5820213e-09
MOS,2.573273e-09
PPL,2.5604858e-09
OMC,2.5140772e-09
GE,2.505565e-09
DE,2.476375e-09
EXPD,2.4721984e-09
OGN,2.4683509e-09
NXPI,2.46319e-09
PLD,2.4386535e-09
EXR,2.4373596e-09
KMI,2.4164413e-09
CMS,2.3940265e-09
PANW,2.3899982e-09
CVS,2.387623e-09
WAB,2.3819304e-09
TER,2.381893e-09
NOW,2.3674154e-09
ADSK,2.3462865e-09
NEE,2.34361e-09
BR,2.311266e-09
RL,2.3050493e-09
LH,2.3023392e-09
SO,2.3004565e-09
HST,2.2548385e-09
REG,2.2293936e-09
STT,2.2075486e-09
MAR,2.1879625e-09
ADP,2.1739488e-09
ROL,2.102395e-09
NEM,2.0997932e-09
EQIX,2.0952622e-09
CTSH,2.0859972e-09
INVH,2.0756166e-09
EMR,2.0746267e-09
NTRS,2.0507847e-09
NUE,2.0502224e-09
LVS,2.0448256e-09
EIX,2.011514e-09
BA,2.01053e-09
PWR,2.0048463e-09
O,2.002437e-09
PSA,1.981085e-09
MSFT,1.975424e-09
ED,1.9676274e-09
EXC,1.9513056e-09
PNW,1.9384756e-09
D,1.9267508e-09
TDY,1.922265e-09
HLT,1.9112505e-09
ATO,1.9046629e-09
TSLA,1.8955284e-09
J,1.8886324e-09
WBD,1.874551e-09
AEE,1.8733968e-09
GRMN,1.868989e-09
SRE,1.8674642e-09
VRTX,1.866788e-09
GWW,1.8590934e-09
KIM,1.852071e-09
AXON,1.850059e-09
AMAT,1.8464512e-09
SEDG,1.8354502e-09
GD,1.8318723e-09
PEG,1.8278825e-09
TDG,1.8210083e-09
AVB,1.7883925e-09
HII,1.7767228e-09
NDSN,1.768642e-09
FDX,1.7632293e-09
ITW,1.7542463e-09
GEHC,1.7412288e-09
TAP,1.7164484e-09
VTR,1.7159733e-09
TRMB,1.7105964e-09
PKG,1.7081618e-09
AEP,1.6878773e-09
CSGP,1.6797218e-09
TYL,1.6769223e-09
MA,1.6745001e-09
CSX,1.6678315e-09
GOOGL,1.6570151e-09
FTNT,1.6533853e-09
BBWI,1.644662e-09
LIN,1.6350546e-09
AWK,1.6234766e-09
CBOE,1.6161917e-09
IPG,1.6130294e-09
EQR,1.6124844e-09
CVX,1.6034917e-09
GM,1.5917448e-09
PCG,1.5873253e-09
LNT,1.5853665e-09
TTWO,1.5842487e-09
NI,1.5825248e-09
CPT,1.5627222e-09
EA,1.5474336e-09
RJF,1.5473458e-09
MAA,1.5432385e-09
AOS,1.5305902e-09
DTE,1.5173226e-09
DXC,1.5119721e-09
CNP,1.5080173e-09
CTAS,1.4994652e-09
VMC,1.4807691e-09
ARE,1.4756152e-09
WBA,1.4603869e-09
FE,1.4572241e-09
F,1.4552737e-09
JKHY,1.4545317e-09
CCI,1.4524681e-09
MRNA,1.44899e-09
IEX,1.4360653e-09
IQV,1.4330864e-09
PFE,1.4298239e-09
SHW,1.4222391e-09
PGR,1.4013306e-09
LDOS,1.3949855e-09
NKE,1.3901824e-09
CB,1.3810291e-09
EVRG,1.3786903e-09
GLW,1.3516706e-09
JNJ,1.3470274e-09
MOH,1.3462736e-09
ODFL,1.3430079e-09
DGX,1.3373719e-09
AZO,1.3351629e-09
CDW,1.3338036e-09
APTV,1.3312674e-09
UAL,1.3169476e-09
ES,1.3139756e-09
SBUX,1.3063467e-09
EMN,1.2932118e-09
BG,1.2874816e-09
DXCM,1.2668275e-09
HPE,1.2612764e-09
XOM,1.2581567e-09
LW,1.244041e-09
BWA,1.2334426e-09
MCO,1.2258244e-09
JCI,1.205904e-09
MDT,1.1973614e-09
HIG,1.1898162e-09
EW,1.1897374e-09
DOV,1.1780245e-09
WELL,1.174352e-09
LOW,1.1643596e-09
TSCO,1.1641808e-09
XEL,1.1634426e-09
APD,1.1606645e-09
KMX,1.154689e-09
CPRT,1.1431429e-09
TXT,1.1409438e-09
NSC,1.1293921e-09
AES,1.1168626e-09
ISRG,1.1073937e-09
VRSK,1.1073923e-09
ABT,1.1031754e-09
CHRW,1.1018173e-09
EL,1.0995811e-09
ZTS,1.091252e-09
LYB,1.0884236e-09
PARA,1.0866948e-09
NCLH,1.0821711e-09
WEC,1.0760965e-09
RCL,1.0661639e-09
AON,1.0557216e-09
UDR,1.0432365e-09
ULTA,1.0330102e-09
LMT,1.0275606e-09
VZ,1.0117926e-09
HON,9.919454e-10
BALL,9.907111e-10
FIS,9.889175e-10
SYK,9.762561e-10
LHX,9.752701e-10
UPS,9.691404e-10
KR,9.621294e-10
SBAC,9.522564e-10
CMG,9.514773e-10
AMCR,9.503092e-10
WYNN,9.4565e-10
BDX,9.450863e-10
DAL,9.438043e-10
HOLX,9.432851e-10
AAPL,9.346598e-10
L,9.286307e-10
CNC,9.2488645e-10
CCL,9.240247e-10
DPZ,9.216779e-10
XRAY,8.964088e-10
STLD,8.963435e-10
KDP,8.9480257e-10
STZ,8.920412e-10
WRB,8.870093e-10
DIS,8.748512e-10
WST,8.730031e-10
HRL,8.636501e-10
LLY,8.626066e-10
RSG,8.612156e-10
AJG,8.567659e-10
DVA,8.555011e-10
T,8.2454654e-10
CI,8.1832013e-10
KO,8.0997503e-10
COO,8.041876e-10
HSIC,8.0287776e-10
DOW,8.0227425e-10
FAST,7.958881e-10
WTW,7.7904655e-10
TROW,7.735622e-10
FMC,7.5116086e-10
MKC,7.4705775e-10
AMT,7.470406e-10
ELV,7.4280276e-10
PPG,7.391883e-10
VICI,7.3641904e-10
TJX,7.3263706e-10
PODD,7.213174e-10
CL,7.211278e-10
RTX,7.1988315e-10
BF.B,7.083055e-10
UNH,7.048263e-10
CINF,7.038529e-10
CAH,7.022791e-10
ORLY,6.9182277e-10
PM,6.8914485e-10
PG,6.882117e-10
BMY,6.858229e-10
NOC,6.801828e-10
SNPS,6.794496e-10
CTVA,6.675027e-10
ADM,6.528571e-10
TMUS,6.527572e-10
BAX,6.507477e-10
XYL,6.484896e-10
SYY,6.474863e-10
NWSA,6.435836e-10
BRO,6.4351674e-10
WM,6.4008115e-10
ECL,6.3281425e-10
ROP,6.295781e-10
DLTR,6.2879973e-10
KMB,6.250332e-10
ALB,6.2137717e-10
UHS,6.0572847e-10
TRV,6.0062155e-10
AAL,5.966359e-10
CHD,5.9250055e-10
MSI,5.9042987e-10
RMD,5.882095e-10
HWM,5.8788296e-10
VRSN,5.877792e-10
WY,5.8285937e-10
MCK,5.8261107e-10
MDLZ,5.7987365e-10
HUM,5.776966e-10
TPR,5.730235e-10
CDNS,5.6902083e-10
HAS,5.605352e-10
MMC,5.586711e-10
ZBH,5.5552085e-10
MNST,5.4662935e-10
BBY,5.4521626e-10
GL,5.318749e-10
TEL,5.295407e-10
FI,5.2777493e-10
PEP,5.269461e-10
CLX,5.2671567e-10
INCY,5.2617016e-10
BIIB,5.209672e-10
CMCSA,4.933749e-10
SJM,4.8630716e-10
BRK.B,4.7605925e-10
DG,4.6001664e-10
GPC,4.4469906e-10
DRI,4.4451887e-10
TGT,4.418017e-10
WMT,4.363373e-10
HCA,4.2253376e-10
MRK,4.2240947e-10
ROST,4.1726084e-10
AME,4.1230414e-10
GIS,3.9259238e-10
KHC,3.881301e-10
CPB,3.8562512e-10
YUM,3.8262163e-10
LKQ,3.7006206e-10
HSY,3.642637e-10
FOXA,3.236201e-10
MO,3.153044e-10
CAG,3.091309e-10
K,3.0436934e-10
BSX,2.9545272e-10
MCD,2.384499e-10
