,Weight
Cash,0.9143302
MPWR,0.022743387
FICO,0.01596512
MTD,0.009017567
BKNG,0.006370559
NVR,0.006048097
ESS,0.0045684166
AIZ,0.0036480813
ZBRA,0.0034661877
TDY,0.0031231833
POOL,0.0029422424
AMP,0.0028561011
FDS,0.002726455
WAT,0.0021924372
TRGP,1.770148e-06
IP,1.5481387e-08
AZO,1.23996795e-08
IRM,7.3739845e-09
GRMN,1.8990265e-09
FFIV,2.4300248e-10
ABBV,2.2959486e-10
T,1.580051e-10
IBM,8.502924e-11
PM,6.0486297e-11
PTC,5.968108e-11
JPM,4.7386105e-11
WMB,4.1993246e-11
WMT,3.8508283e-11
TFX,3.2561474e-11
BIO,2.6668308e-11
ICE,2.1239422e-11
LIN,1.7944654e-11
ETR,1.7078738e-11
WAB,1.67022e-11
AXON,1.33112245e-11
COST,1.0920436e-11
SO,9.012453e-12
WFC,7.1231298e-12
URI,6.515514e-12
TDG,6.0377016e-12
AFL,5.8497183e-12
INTU,5.705673e-12
SNA,5.649058e-12
NDSN,5.2498323e-12
CME,5.0908184e-12
GILD,4.9744254e-12
CE,4.5064885e-12
GWW,4.382365e-12
CMI,4.21177e-12
RSG,3.981033e-12
MLM,3.7637016e-12
AKAM,3.5552416e-12
ECL,3.301551e-12
AVGO,3.0551714e-12
IT,2.8809477e-12
TYL,2.8109281e-12
WTW,2.7255258e-12
RVTY,2.707285e-12
NI,2.7041006e-12
MSCI,2.4899698e-12
CEG,2.4720282e-12
KEYS,2.466794e-12
AVY,2.457151e-12
MCO,2.4384637e-12
BR,2.3716927e-12
AON,2.3598749e-12
AMGN,2.2374162e-12
RL,2.2142498e-12
TSCO,2.2028393e-12
NVDA,2.1746602e-12
ANET,2.1630252e-12
PPL,2.1390812e-12
LLY,2.1376655e-12
MOH,2.1050865e-12
REGN,2.0972098e-12
DUK,2.0686382e-12
EQIX,2.049666e-12
TMUS,2.0016265e-12
LDOS,1.975521e-12
PNR,1.9726924e-12
GEN,1.9340905e-12
BLK,1.9090823e-12
STE,1.8932518e-12
NRG,1.8567337e-12
EBAY,1.848447e-12
CRL,1.8109137e-12
EPAM,1.8007274e-12
PANW,1.782486e-12
ZION,1.7245879e-12
PEG,1.6925532e-12
AMZN,1.5722076e-12
HIG,1.5707754e-12
HLT,1.5470174e-12
MHK,1.5388691e-12
NDAQ,1.537568e-12
J,1.51447e-12
GE,1.4868548e-12
AMD,1.4702463e-12
PKG,1.469211e-12
GNRC,1.443462e-12
PNC,1.4299794e-12
DHR,1.4283449e-12
INTC,1.4136192e-12
TRV,1.4035042e-12
SPG,1.3773643e-12
PSX,1.3433625e-12
KEY,1.334434e-12
AXP,1.3018834e-12
NWL,1.2908961e-12
META,1.2770745e-12
PAYC,1.2497568e-12
MRNA,1.2481531e-12
QCOM,1.2348798e-12
IDXX,1.2296287e-12
MKTX,1.2255962e-12
CTAS,1.1939059e-12
MA,1.1770331e-12
QRVO,1.1593705e-12
GS,1.1542699e-12
