,Weight
MPWR,0.5957517
Cash,0.40159923
MTD,0.0026492258
FICO,1.6470646e-12
BKNG,3.1303443e-13
IP,4.7391886e-14
PTC,4.6619863e-14
GRMN,4.6329314e-14
FFIV,4.4818695e-14
TRGP,4.382224e-14
AMP,4.3012706e-14
IBM,4.2574244e-14
IRM,3.901917e-14
PM,3.8996584e-14
WAT,3.8678503e-14
JPM,3.816015e-14
WAB,3.80564e-14
ZBRA,3.786297e-14
ICE,3.7649656e-14
FDS,3.74912e-14
LIN,3.6751116e-14
NVR,3.6700355e-14
URI,3.5003633e-14
AKAM,3.4689943e-14
CE,3.4497646e-14
MLM,3.421477e-14
AXON,3.3780955e-14
MSCI,3.3727026e-14
CMI,3.3654682e-14
PNR,3.3406675e-14
CEG,3.3034336e-14
ZION,3.274092e-14
INTC,3.270088e-14
WFC,3.268166e-14
IT,3.2586896e-14
POOL,3.252322e-14
NWL,3.2117324e-14
AIZ,3.2065483e-14
AVGO,3.1651016e-14
COST,3.137725e-14
KEYS,3.137382e-14
INTU,3.110221e-14
KEY,3.1049765e-14
REGN,3.064381e-14
BR,3.0400365e-14
AZO,3.0169985e-14
ACN,2.9905294e-14
PSX,2.971071e-14
BLK,2.9676575e-14
AMGN,2.965638e-14
ANET,2.961944e-14
EQIX,2.9456282e-14
MCO,2.9449757e-14
RHI,2.931973e-14
SLB,2.9247695e-14
TDG,2.9170568e-14
EBAY,2.8971583e-14
DHR,2.862795e-14
NRG,2.860693e-14
AFL,2.8465552e-14
MA,2.831652e-14
NDAQ,2.8182006e-14
ADBE,2.8085485e-14
GEN,2.8078417e-14
MAR,2.8007576e-14
ABBV,2.7829391e-14
HAL,2.7816216e-14
AMZN,2.740329e-14
WMB,2.7336914e-14
V,2.731425e-14
STE,2.7285637e-14
CME,2.713724e-14
MU,2.7092828e-14
LLY,2.6981994e-14
SPG,2.6639886e-14
COP,2.6612823e-14
NVDA,2.6598003e-14
APH,2.6581644e-14
PAYC,2.637654e-14
AXP,2.6135625e-14
APA,2.6029405e-14
MPC,2.601997e-14
PFG,2.5993027e-14
TDY,2.5890341e-14
EOG,2.5849208e-14
PRU,2.5827158e-14
AVY,2.5735021e-14
CTAS,2.5651524e-14
QRVO,2.5540857e-14
LH,2.5513681e-14
GWW,2.5354237e-14
ESS,2.528395e-14
RVTY,2.5261672e-14
FANG,2.5108411e-14
CARR,2.5084688e-14
BIO,2.5063434e-14
BKR,2.497951e-14
TYL,2.4943277e-14
HLT,2.4934998e-14
GS,2.4880737e-14
CBRE,2.4854574e-14
A,2.4802734e-14
CSCO,2.4794526e-14
CRM,2.4558767e-14
EPAM,2.4548133e-14
TT,2.4397983e-14
PCAR,2.4321248e-14
RL,2.4297892e-14
BXP,2.4200065e-14
SNA,2.4059224e-14
PNC,2.4040667e-14
PWR,2.3888425e-14
J,2.3843564e-14
TMO,2.3797987e-14
PH,2.3786178e-14
USB,2.3696736e-14
OKE,2.3609676e-14
AMD,2.3567079e-14
IDXX,2.3553862e-14
ADI,2.3533121e-14
TFX,2.3492903e-14
ETN,2.3492835e-14
PHM,2.3441096e-14
RSG,2.3303643e-14
HIG,2.3231297e-14
QCOM,2.3201267e-14
CBOE,2.2992752e-14
NDSN,2.2982682e-14
FRT,2.2921296e-14
WMT,2.2873254e-14
ADSK,2.277527e-14
PKG,2.277089e-14
GNRC,2.270365e-14
RJF,2.265251e-14
FCX,2.2637435e-14
MHK,2.2613037e-14
MOH,2.2594907e-14
ILMN,2.2530395e-14
VTRS,2.2463961e-14
DLR,2.2455072e-14
HES,2.2445785e-14
CFG,2.2324643e-14
CAT,2.2219907e-14
CVS,2.2187821e-14
ETR,2.2096408e-14
MET,2.209578e-14
SYF,2.2021539e-14
EXPE,2.1967877e-14
CDW,2.1936122e-14
VLO,2.1799157e-14
VRTX,2.1787793e-14
REG,2.1721389e-14
FTV,2.161884e-14
EXPD,2.1574073e-14
VRSK,2.1535132e-14
ANSS,2.1289943e-14
DE,2.122811e-14
TSCO,2.1224347e-14
PPL,2.1206095e-14
META,2.1182076e-14
MGM,2.1170203e-14
DUK,2.1119958e-14
MMM,2.0973373e-14
GPN,2.0929202e-14
STX,2.0923615e-14
TSN,2.0880722e-14
CRL,2.0845091e-14
ACGL,2.0803397e-14
WDC,2.0768277e-14
MKTX,2.0681839e-14
L,2.0637851e-14
IQV,2.0606441e-14
LRCX,2.0596392e-14
GE,2.0586975e-14
NFLX,2.0513373e-14
ALGN,2.044239e-14
EFX,2.0435973e-14
KLAC,2.0376724e-14
GILD,2.0281789e-14
PAYX,2.0220387e-14
ECL,2.0207577e-14
SPGI,2.0191629e-14
BAC,2.0093527e-14
SWKS,2.0085658e-14
PANW,2.0029566e-14
CHTR,1.9973078e-14
LDOS,1.9921251e-14
UNP,1.9886314e-14
SO,1.9844239e-14
IFF,1.9767728e-14
EIX,1.9736886e-14
TFC,1.9534608e-14
LEN,1.9528431e-14
LYV,1.9504382e-14
HBAN,1.9491882e-14
ALL,1.947353e-14
VTR,1.9350425e-14
NEM,1.9331216e-14
HD,1.9283356e-14
IR,1.9258787e-14
CB,1.9171568e-14
PNW,1.9158716e-14
VFC,1.913571e-14
ALK,1.9123658e-14
AON,1.9110952e-14
GOOGL,1.9028865e-14
TRMB,1.9024758e-14
ORCL,1.8999018e-14
ADP,1.8985512e-14
PYPL,1.8958698e-14
EXR,1.891973e-14
ENPH,1.8887662e-14
CTRA,1.8840467e-14
HII,1.8832651e-14
NTAP,1.8784335e-14
SRE,1.8629587e-14
KMI,1.8590249e-14
DGX,1.8498852e-14
ROL,1.8467851e-14
CMA,1.8347501e-14
JKHY,1.831574e-14
TER,1.8261829e-14
EQT,1.8254644e-14
ATO,1.8241407e-14
DD,1.8234337e-14
ETSY,1.8197026e-14
IEX,1.8139997e-14
PLD,1.8074477e-14
CF,1.8059528e-14
ROK,1.8039804e-14
TXN,1.8031087e-14
AJG,1.7994254e-14
CMG,1.7885882e-14
MMC,1.7821643e-14
LUV,1.7816101e-14
APD,1.7803504e-14
PSA,1.7793257e-14
JNJ,1.773694e-14
JBHT,1.7712059e-14
LNT,1.770696e-14
CMS,1.7656985e-14
MAS,1.7610244e-14
SWK,1.7585175e-14
FDX,1.7577363e-14
WRB,1.7574306e-14
WHR,1.7519347e-14
AEE,1.7421301e-14
AVB,1.7400312e-14
PEG,1.7253851e-14
NOW,1.724322e-14
TECH,1.7221193e-14
NXPI,1.7007917e-14
CI,1.6979561e-14
NI,1.689897e-14
GD,1.686439e-14
ED,1.6796779e-14
FITB,1.6765205e-14
NEE,1.6704545e-14
MSFT,1.6703444e-14
MTB,1.6597853e-14
DHI,1.6530885e-14
FTNT,1.6494093e-14
D,1.6470232e-14
OMC,1.6256942e-14
DTE,1.6198667e-14
MTCH,1.6189857e-14
ALLE,1.6088605e-14
EXC,1.6039987e-14
INVH,1.5934402e-14
ISRG,1.5897518e-14
EA,1.5888712e-14
SHW,1.586308e-14
MS,1.584757e-14
WELL,1.5822538e-14
NTRS,1.5818613e-14
EVRG,1.5808867e-14
MCHP,1.5764903e-14
ON,1.5761238e-14
OXY,1.5759114e-14
STT,1.5739568e-14
O,1.5707479e-14
CNP,1.5707393e-14
PGR,1.5619272e-14
DVN,1.5458238e-14
FI,1.5443086e-14
CZR,1.5430711e-14
AWK,1.5428219e-14
PFE,1.5329784e-14
RF,1.5323983e-14
CPT,1.5319497e-14
PCG,1.5195817e-14
KO,1.5048174e-14
AOS,1.4879221e-14
AEP,1.4874202e-14
CVX,1.4821257e-14
HST,1.4785516e-14
EQR,1.4779307e-14
IVZ,1.4755815e-14
TXT,1.4754455e-14
BA,1.4729945e-14
TRV,1.4650179e-14
FE,1.4629048e-14
ORLY,1.460867e-14
ROP,1.4506603e-14
WTW,1.4497575e-14
TTWO,1.4372646e-14
T,1.4292803e-14
MRNA,1.4252386e-14
NUE,1.4242949e-14
KR,1.4238224e-14
MDT,1.4183388e-14
WST,1.4179153e-14
OGN,1.4130264e-14
MSI,1.4111468e-14
BK,1.4086656e-14
TAP,1.4081608e-14
LHX,1.4073456e-14
ZTS,1.4019166e-14
C,1.4005345e-14
ODFL,1.3981451e-14
ITW,1.3972176e-14
BEN,1.3961736e-14
ABT,1.3958605e-14
UNH,1.3955563e-14
DIS,1.3924326e-14
GEHC,1.3888229e-14
KDP,1.3801243e-14
FSLR,1.3778738e-14
MAA,1.3700422e-14
OTIS,1.3650639e-14
COF,1.3614135e-14
VMC,1.36122955e-14
CHRW,1.3605631e-14
CL,1.3597841e-14
STZ,1.352886e-14
AMAT,1.3509472e-14
DOV,1.3497783e-14
MCK,1.3481707e-14
FIS,1.3479647e-14
HPQ,1.34605944e-14
TSLA,1.3417297e-14
AAPL,1.3401137e-14
SEE,1.3357386e-14
XEL,1.3349533e-14
LW,1.3311389e-14
BIIB,1.3253745e-14
WEC,1.3204735e-14
SEDG,1.31909e-14
ES,1.3103878e-14
PG,1.3092612e-14
LVS,1.30909814e-14
RCL,1.3071485e-14
LMT,1.305911e-14
UAL,1.29139795e-14
MOS,1.2853277e-14
XOM,1.2851455e-14
HRL,1.2850863e-14
WBD,1.2814561e-14
EMN,1.27503675e-14
KIM,1.2736416e-14
GL,1.26435515e-14
SCHW,1.2587886e-14
F,1.25591794e-14
NKE,1.251962e-14
BBWI,1.25136895e-14
DXCM,1.2511378e-14
NSC,1.24909145e-14
TMUS,1.2449797e-14
BG,1.2398551e-14
CPRT,1.2285727e-14
