,Weight
GRMN,0.11229732
IP,0.10688839
FFIV,0.105315104
IRM,0.09759626
IBM,0.078006744
Cash,0.06521077
TRGP,0.06306237
PM,0.05564176
PTC,0.05226521
WMT,0.049937733
ICE,0.03989888
LIN,0.026565282
JPM,0.023040026
INTU,0.019341927
WAB,0.010247881
TYL,0.008979539
WMB,0.0073544364
T,0.00696799
GEN,0.0057407743
GILD,0.0057403455
COST,0.005563191
ECL,0.0052971756
PANW,0.0048228567
SO,0.0034373738
AVGO,0.0033858372
URI,0.0031056164
AZO,0.0030602552
EXPE,0.0029730045
NI,0.0028262988
ABBV,0.0027379931
ETR,0.0020988635
TMUS,0.0013860471
AXON,0.0013728535
WFC,0.0013179617
RSG,0.0011849488
EBAY,0.0008143546
NVDA,0.0008130901
WTW,0.00077478756
AON,0.0007491734
AFL,0.0007132748
HLT,0.00062295404
MCO,0.0006178406
PPL,0.000502062
ANET,0.00046565197
CMI,0.00046544522
AMZN,0.0004433524
FTNT,0.0003754754
NDAQ,0.00029577612
BR,0.00028768939
CME,0.0002872167
DUK,0.00020983408
TRMB,0.00020640134
J,0.00018228227
FI,0.0001781845
MAR,0.00016942377
MSFT,0.00015948668
GWW,0.00015112036
ADSK,0.00014744018
PEG,0.00013673457
RL,0.00012841933
LLY,0.00012620236
KMI,0.00012156304
TRV,0.000116340816
AXP,0.00011604008
AMGN,0.00011243341
META,0.0001096412
SNA,9.779285e-05
RVTY,9.543006e-05
DHR,9.314635e-05
VRTX,8.796838e-05
PNC,8.674511e-05
TSCO,8.6652035e-05
NFLX,8.463915e-05
INCY,8.105175e-05
VTRS,7.9722646e-05
SPG,7.425752e-05
KEYS,7.39535e-05
HIG,7.346143e-05
EA,7.2009636e-05
AAPL,6.777612e-05
ILMN,6.7477544e-05
MA,6.642562e-05
LYV,6.264009e-05
ZION,5.896807e-05
RCL,5.5903787e-05
CSCO,5.153539e-05
MOH,4.9491708e-05
AKAM,4.702595e-05
OKE,4.6519268e-05
LNT,4.4272834e-05
KO,4.390763e-05
CEG,4.347177e-05
PNR,4.249029e-05
GE,4.230447e-05
REGN,4.0713083e-05
KEY,3.9037797e-05
STE,3.82062e-05
DTE,3.7371297e-05
MLM,3.7116006e-05
PKG,3.58662e-05
CRM,3.531333e-05
IFF,3.4804496e-05
NRG,3.4279794e-05
JNJ,3.3236396e-05
BAC,3.3062668e-05
V,3.2566422e-05
MCK,3.19876e-05
CBRE,3.1769727e-05
VTR,3.1246695e-05
TSN,2.9351268e-05
MSCI,2.8895249e-05
DE,2.8268601e-05
NEM,2.8209064e-05
GS,2.8089007e-05
TT,2.7018243e-05
SRE,2.6965077e-05
SWKS,2.6945307e-05
QRVO,2.6831534e-05
A,2.5806237e-05
TMO,2.5119683e-05
BLK,2.491071e-05
QCOM,2.4657504e-05
DGX,2.3592527e-05
IT,2.2935468e-05
CE,2.1679794e-05
ADI,2.1637848e-05
LH,2.121363e-05
TFX,2.0330903e-05
NOW,1.9504747e-05
PRU,1.905051e-05
EQIX,1.8944926e-05
HBAN,1.887169e-05
LDOS,1.8788489e-05
CL,1.8554481e-05
RHI,1.833464e-05
SYF,1.8158325e-05
RJF,1.7811824e-05
ADBE,1.746128e-05
PAYX,1.733149e-05
BSX,1.7311548e-05
CTAS,1.6435279e-05
INTC,1.6214493e-05
PFG,1.5875026e-05
GOOGL,1.5539297e-05
PCG,1.5460242e-05
AMD,1.5173802e-05
ATO,1.4880216e-05
LEN,1.4305224e-05
PSX,1.4232675e-05
ACN,1.4194157e-05
ALL,1.36208155e-05
IR,1.3462603e-05
APH,1.34548245e-05
MRNA,1.3435857e-05
MS,1.3130022e-05
CBOE,1.3087741e-05
ALK,1.2880674e-05
BK,1.26151745e-05
STT,1.26058085e-05
D,1.2540233e-05
EFX,1.2228716e-05
PAYC,1.2085922e-05
AVY,1.2081266e-05
AJG,1.1984765e-05
MET,1.1921949e-05
CHD,1.1312691e-05
FE,1.11200225e-05
EVRG,1.1084725e-05
VRSK,1.1058193e-05
ORCL,1.1057585e-05
STX,1.1000642e-05
MHK,1.0956192e-05
EXPD,1.091649e-05
CB,1.0891022e-05
BXP,1.08288605e-05
L,1.0718499e-05
CMS,1.0611551e-05
CFG,1.0502074e-05
EXC,1.0354048e-05
GNRC,1.0253833e-05
TDG,1.0136314e-05
BIO,1.0105406e-05
MTB,9.968029e-06
NWL,9.955492e-06
FRT,9.873776e-06
MPC,9.863781e-06
USB,9.798333e-06
NTAP,9.4468105e-06
KR,9.362295e-06
DLR,9.359114e-06
CVS,9.122112e-06
ETN,9.040128e-06
PHM,8.925064e-06
EIX,8.814144e-06
IQV,8.758535e-06
WRB,8.676492e-06
CAT,8.638109e-06
REG,8.328398e-06
PGR,8.318324e-06
HD,8.250522e-06
MU,8.205428e-06
APD,8.150111e-06
TFC,8.102663e-06
VLO,8.0444115e-06
PCAR,8.008414e-06
SPGI,7.995057e-06
SCHW,7.993709e-06
PNW,7.806466e-06
PH,7.780623e-06
UHS,7.775906e-06
UNP,7.684573e-06
AEE,7.640943e-06
ROL,7.616439e-06
BKR,7.5984503e-06
CMG,7.5514563e-06
MMC,7.474343e-06
PG,7.463205e-06
CNP,7.3767997e-06
TSLA,7.34957e-06
C,7.3352635e-06
CDW,7.310894e-06
AEP,7.250491e-06
FANG,7.2343155e-06
AMT,7.178106e-06
FITB,7.1020313e-06
NEE,6.9716775e-06
CHTR,6.91801e-06
CRL,6.8386826e-06
FTV,6.8214667e-06
PSA,6.6721964e-06
DIS,6.6641246e-06
ROP,6.6322273e-06
WELL,6.4707833e-06
SHW,6.4697865e-06
CARR,6.416338e-06
LUV,6.3775824e-06
EQT,6.336258e-06
EPAM,6.323036e-06
HAL,6.3123694e-06
ADP,6.2864083e-06
XEL,6.2470876e-06
MMM,6.222061e-06
TTWO,6.136213e-06
UNH,6.1326696e-06
MKTX,6.0756806e-06
PWR,5.974604e-06
ABT,5.9052372e-06
RF,5.7601856e-06
GL,5.734579e-06
ED,5.610624e-06
WEC,5.5773185e-06
IDXX,5.4792617e-06
WDC,5.4290867e-06
BRK.B,5.408944e-06
ROK,5.4047478e-06
OTIS,5.3655613e-06
VZ,5.3292792e-06
PYPL,5.3237154e-06
CMA,5.311614e-06
ISRG,5.3069825e-06
EOG,5.2671603e-06
CF,5.262578e-06
MSI,5.2018113e-06
JKHY,5.136459e-06
HUM,5.1343704e-06
SLB,4.9740684e-06
KLAC,4.9602013e-06
TER,4.935482e-06
VFC,4.9299483e-06
HOLX,4.9095484e-06
TXT,4.8757947e-06
CINF,4.8715065e-06
DVA,4.7287976e-06
BRO,4.65811e-06
FIS,4.5526926e-06
O,4.549876e-06
JBHT,4.543421e-06
COF,4.5090833e-06
FCX,4.4802105e-06
TXN,4.46945e-06
WST,4.3859454e-06
COP,4.3582318e-06
ACGL,4.349599e-06
LRCX,4.2707024e-06
NDSN,4.2577562e-06
FDX,4.159777e-06
KDP,4.108264e-06
EXR,4.0896507e-06
GPN,4.0213913e-06
NTRS,4.0141263e-06
CAH,4.0060486e-06
GLW,3.997703e-06
MDT,3.9965325e-06
PEP,3.963481e-06
WBD,3.9618e-06
NXPI,3.8774383e-06
CI,3.8367266e-06
YUM,3.822983e-06
ANSS,3.7693524e-06
GD,3.7606899e-06
PFE,3.7497334e-06
DD,3.7453467e-06
HES,3.7448826e-06
INVH,3.6973088e-06
ORLY,3.67142e-06
APA,3.6171582e-06
MAS,3.6163858e-06
AMAT,3.6099798e-06
HPQ,3.5182604e-06
ENPH,3.49793e-06
MTCH,3.4892619e-06
WM,3.4499535e-06
DXC,3.4186412e-06
TECH,3.412893e-06
ETSY,3.34767e-06
EMR,3.34075e-06
