,Weight
Cash,0.91005945
MPWR,0.022788709
FICO,0.016395988
MTD,0.008911798
BKNG,0.008520852
NVR,0.00581872
ESS,0.005574581
AIZ,0.0049261856
TDY,0.004378431
AMP,0.0040937643
WAT,0.0029108506
ZBRA,0.0027724742
FDS,0.0020728074
TRGP,0.0006509372
IRM,6.613329e-05
IP,3.31031e-05
GRMN,1.6014934e-05
T,2.0740838e-06
ABBV,1.523296e-06
FFIV,1.3582711e-06
AZO,1.2726009e-06
IBM,3.791475e-07
PM,3.093195e-07
WMB,3.0664467e-07
PTC,2.6833885e-07
JPM,2.4913385e-07
WMT,1.9480696e-07
ETR,8.481072e-08
ICE,8.4076284e-08
LIN,7.531668e-08
WAB,6.673442e-08
COST,6.090252e-08
AXON,4.0730008e-08
SO,3.7478525e-08
CME,2.7755972e-08
WFC,2.6611351e-08
AFL,2.309766e-08
GILD,2.1206521e-08
POOL,1.8543297e-08
INTU,1.6827485e-08
RSG,1.5164733e-08
URI,1.320192e-08
CMI,1.1194864e-08
NI,1.1064675e-08
TFX,1.08007265e-08
CE,9.109213e-09
AKAM,8.836909e-09
ECL,8.404616e-09
TDG,8.23881e-09
AMGN,8.069477e-09
AVGO,8.062971e-09
MLM,7.909102e-09
DUK,7.3091524e-09
AON,7.241516e-09
WTW,7.045995e-09
TMUS,6.9135844e-09
LLY,6.6384214e-09
BR,6.5087624e-09
CEG,6.4264984e-09
BIO,6.3482313e-09
PPL,6.053081e-09
SNA,5.924753e-09
EBAY,5.7865397e-09
RL,5.692098e-09
MOH,5.6527605e-09
MCO,5.528519e-09
RVTY,5.438672e-09
KEYS,5.4173532e-09
PANW,5.288944e-09
IT,5.2782374e-09
PEG,5.2737277e-09
TYL,5.261894e-09
TSCO,5.1277227e-09
MSCI,5.1192512e-09
ANET,5.102371e-09
GEN,4.933871e-09
HIG,4.577519e-09
NVDA,4.526935e-09
NDAQ,4.48363e-09
REGN,4.4454724e-09
PNR,4.374218e-09
LDOS,4.3520485e-09
HLT,4.245283e-09
NRG,4.1848733e-09
GE,4.0252535e-09
STE,3.894278e-09
GWW,3.8897476e-09
ZION,3.855945e-09
AMZN,3.6563121e-09
AVY,3.4923506e-09
TRV,3.4776244e-09
EQIX,3.402794e-09
PNC,3.3758416e-09
BLK,3.3679868e-09
AXP,3.321219e-09
PSX,3.1649305e-09
J,3.1123275e-09
DHR,3.0998146e-09
AMD,3.0240221e-09
INTC,3.0003366e-09
MRNA,2.90869e-09
META,2.7538092e-09
MAR,2.7398535e-09
KEY,2.7064344e-09
MA,2.6430287e-09
OKE,2.6372209e-09
PRU,2.6053828e-09
VRTX,2.576506e-09
NWL,2.5686224e-09
QCOM,2.5372757e-09
PKG,2.5196991e-09
GS,2.4772036e-09
CRL,2.4538407e-09
BAC,2.4481122e-09
NDSN,2.447601e-09
SPG,2.3963058e-09
VTRS,2.3858011e-09
EPAM,2.289097e-09
LH,2.2359903e-09
PFG,2.2155429e-09
JNJ,2.174607e-09
TRMB,2.169302e-09
ADSK,2.162008e-09
CRM,2.1469686e-09
IFF,2.1362045e-09
MSFT,2.105833e-09
GNRC,2.098171e-09
A,2.0805146e-09
CTAS,2.0728927e-09
IDXX,2.0634583e-09
TT,1.9902895e-09
MHK,1.985371e-09
KMI,1.9848851e-09
DTE,1.962941e-09
PAYC,1.9433777e-09
V,1.9286603e-09
LNT,1.9254254e-09
QRVO,1.9233675e-09
ALL,1.9041768e-09
TSN,1.9011164e-09
EXPE,1.8929494e-09
MPC,1.8893442e-09
ACN,1.8817938e-09
GL,1.8443359e-09
CSCO,1.8279701e-09
KLAC,1.8247711e-09
L,1.8092912e-09
AJG,1.8034422e-09
APH,1.7930875e-09
HAL,1.7915545e-09
MKTX,1.7837841e-09
ADBE,1.78251e-09
TMO,1.766704e-09
CBOE,1.7554892e-09
RHI,1.7393363e-09
FTNT,1.6964765e-09
