,Weight
Cash,0.9145757
MPWR,0.022695472
FICO,0.015926925
MTD,0.009101515
BKNG,0.0062304847
NVR,0.0061411923
ESS,0.0045337384
AIZ,0.0036248886
ZBRA,0.003503341
TDY,0.0031085308
POOL,0.0029569399
AMP,0.002814122
FDS,0.0026387773
WAT,0.0021474962
TRGP,8.7129143e-07
AZO,7.9719635e-09
IP,6.5864336e-09
IRM,3.2439014e-09
GRMN,8.754553e-10
FFIV,1.129726e-10
ABBV,1.057129e-10
T,6.721132e-11
IBM,3.9869347e-11
PM,2.8308158e-11
PTC,2.8180082e-11
JPM,2.2314654e-11
TFX,2.1172912e-11
WMB,1.950996e-11
WMT,1.814386e-11
BIO,1.778007e-11
ICE,1.0179305e-11
LIN,8.672812e-12
ETR,8.250204e-12
WAB,8.179467e-12
AXON,7.0682726e-12
COST,5.34788e-12
SO,4.4747647e-12
TDG,3.907694e-12
SNA,3.6616283e-12
NDSN,3.6393167e-12
URI,3.6084764e-12
WFC,3.556644e-12
AFL,2.949076e-12
GWW,2.9253665e-12
INTU,2.8886101e-12
CME,2.5969747e-12
GILD,2.5294268e-12
CE,2.3633946e-12
CMI,2.2861732e-12
MLM,2.1209497e-12
RSG,2.1018395e-12
AKAM,1.8231321e-12
TYL,1.7665109e-12
ECL,1.7618221e-12
IT,1.6426775e-12
AVGO,1.578229e-12
WTW,1.5749354e-12
RVTY,1.5744371e-12
AVY,1.4815014e-12
NI,1.4671645e-12
MSCI,1.4595384e-12
BR,1.4235215e-12
MCO,1.38416e-12
KEYS,1.3435566e-12
CEG,1.3065384e-12
AON,1.3046268e-12
RL,1.267263e-12
EQIX,1.2400295e-12
MOH,1.2222313e-12
TSCO,1.2167755e-12
AMGN,1.2136747e-12
PPL,1.1809649e-12
LLY,1.1699608e-12
BLK,1.1688199e-12
DUK,1.1599581e-12
REGN,1.1569196e-12
STE,1.15482e-12
ANET,1.1485435e-12
NVDA,1.1470589e-12
EPAM,1.1341179e-12
CRL,1.1325436e-12
TMUS,1.1242572e-12
LDOS,1.1039755e-12
PNR,1.0927702e-12
GEN,1.0505018e-12
EBAY,1.0088709e-12
NRG,1.0085793e-12
PANW,9.826094e-13
PEG,9.763666e-13
MHK,9.508905e-13
ZION,9.492693e-13
J,9.117287e-13
PKG,8.9986373e-13
HIG,8.9570295e-13
HLT,8.784436e-13
NDAQ,8.768796e-13
GNRC,8.743885e-13
AMZN,8.683104e-13
PNC,8.2487234e-13
GE,8.22505e-13
TRV,8.213599e-13
SPG,8.141233e-13
DHR,8.1068014e-13
AMD,8.091768e-13
MKTX,7.733003e-13
INTC,7.732795e-13
IDXX,7.688114e-13
PAYC,7.6809457e-13
PSX,7.5979186e-13
KEY,7.5221833e-13
AXP,7.494911e-13
CTAS,7.3866195e-13
MRNA,7.269892e-13
META,7.2160805e-13
NWL,7.1818186e-13
HII,6.948639e-13
PFG,6.9341245e-13
QCOM,6.850305e-13
MA,6.799118e-13
GS,6.672704e-13
QRVO,6.63963e-13
GL,6.6028736e-13
VRTX,6.583312e-13
KLAC,6.552204e-13
MAR,6.4762784e-13
TRMB,6.4529914e-13
LH,6.4526097e-13
IFF,6.437414e-13
BAC,6.436133e-13
PRU,6.368116e-13
WST,6.367046e-13
ADSK,6.3575626e-13
RHI,6.2835414e-13
L,6.258495e-13
RJF,6.2257854e-13
VTRS,6.2155543e-13
MPC,6.0886577e-13
EFX,6.085029e-13
A,6.0459634e-13
AJG,6.0219494e-13
LNT,5.994068e-13
JKHY,5.988728e-13
IEX,5.900498e-13
ALL,5.8708144e-13
OKE,5.8624096e-13
PH,5.78986e-13
FRT,5.7581983e-13
CRM,5.6980847e-13
ACN,5.679854e-13
MTB,5.6695685e-13
DTE,5.636933e-13
TT,5.5506153e-13
TMO,5.5461213e-13
MSFT,5.545823e-13
ADBE,5.530599e-13
MU,5.433319e-13
JNJ,5.3253625e-13
IQV,5.323233e-13
KMI,5.32215e-13
TSN,5.31757e-13
MCK,5.306741e-13
FANG,5.284585e-13
SLB,5.2589855e-13
JBHT,5.219101e-13
ILMN,5.1905165e-13
LRCX,5.183278e-13
DGX,5.146649e-13
CBRE,5.0917495e-13
ALGN,5.0809877e-13
HAL,5.0731115e-13
VLO,5.0502446e-13
NFLX,5.0479504e-13
APH,4.997902e-13
CBOE,4.996011e-13
DLR,4.9844666e-13
GOOGL,4.9838757e-13
EXPE,4.9596183e-13
V,4.9200547e-13
IR,4.83406e-13
EOG,4.823796e-13
TECH,4.8201823e-13
CMG,4.8179397e-13
CDW,4.809959e-13
SRE,4.809355e-13
WRB,4.788354e-13
EXPD,4.7619493e-13
NEM,4.756879e-13
CSCO,4.7322123e-13
ADI,4.7309124e-13
FI,4.685895e-13
SYF,4.674728e-13
