,Weight
Cash,0.751575
ZION,4.0410316e-07
KEY,1.918935e-07
CMA,5.2832704e-08
CFG,4.3421025e-08
TFC,4.251487e-08
FITB,3.8426414e-08
RF,2.8485891e-08
USB,1.6461026e-08
HBAN,1.5868016e-08
VFC,1.4090021e-08
NCLH,4.194723e-09
HAL,3.2491294e-09
PNC,2.5942115e-09
LNC,2.38334e-09
APA,2.196662e-09
NWL,2.0366586e-09
CZR,1.995038e-09
SLB,1.6932336e-09
WFC,1.5983367e-09
INTC,1.5675236e-09
FCX,1.3477627e-09
WDC,1.3260766e-09
BKR,1.2334916e-09
COF,1.216111e-09
PSX,1.2134859e-09
BAC,1.1588884e-09
IVZ,1.1119381e-09
STT,1.0439676e-09
SYF,9.945053e-10
ETSY,9.671837e-10
WBD,9.511115e-10
ENPH,9.38059e-10
CE,9.292662e-10
DVN,8.955809e-10
MU,8.874895e-10
FANG,8.2664453e-10
EBAY,8.2078605e-10
PARA,7.8820966e-10
GNRC,7.2928297e-10
BXP,7.168046e-10
MPC,7.1326306e-10
QCOM,6.951673e-10
AAP,6.726048e-10
MOS,6.6183276e-10
SWK,6.5915623e-10
MTB,6.542798e-10
CARR,6.416944e-10
ON,6.4122635e-10
BEN,6.3465994e-10
GEN,6.26192e-10
GM,6.1562644e-10
CCL,6.0981376e-10
COP,5.777506e-10
PRU,5.7196264e-10
MCHP,5.711778e-10
BK,5.5993454e-10
VLO,5.4533594e-10
EOG,5.301211e-10
MET,5.2535964e-10
PYPL,5.1948834e-10
EMN,5.1550875e-10
MGM,5.1049087e-10
HPQ,4.872162e-10
OXY,4.737774e-10
HES,4.6576465e-10
TSN,4.580943e-10
AAL,4.551527e-10
DD,4.4313664e-10
EXPE,4.4141663e-10
LUV,4.3157297e-10
URI,4.1623216e-10
TSLA,4.1270556e-10
MMM,4.087582e-10
MHK,4.0623985e-10
QRVO,3.9276088e-10
KMX,3.91698e-10
PNR,3.898467e-10
CF,3.8274417e-10
SWKS,3.695007e-10
CBRE,3.678694e-10
SCHW,3.6771464e-10
NXPI,3.6511852e-10
OKE,3.6449294e-10
MTCH,3.6101405e-10
STX,3.4758157e-10
SEE,3.3791014e-10
ALK,3.3529554e-10
MAS,3.2602285e-10
HST,3.1984293e-10
RHI,3.1464298e-10
F,3.1456188e-10
PHM,3.0910396e-10
OGN,3.038e-10
C,3.0158684e-10
DXC,2.9643774e-10
NTRS,2.9366337e-10
CTRA,2.9332894e-10
OTIS,2.809823e-10
NVDA,2.727894e-10
FSLR,2.689166e-10
ANET,2.64063e-10
AIG,2.5849473e-10
VTRS,2.5415686e-10
MRNA,2.389766e-10
EQT,2.3858795e-10
AMZN,2.3810276e-10
GPN,2.3707017e-10
UAL,2.3647473e-10
EMR,2.3464242e-10
IFF,2.3201531e-10
PFG,2.3007211e-10
AXP,2.2762038e-10
BBWI,2.1395931e-10
ETN,2.1220711e-10
JPM,2.0917545e-10
BA,2.0858014e-10
TXN,2.0807504e-10
RL,2.074852e-10
BWA,2.0630359e-10
PLD,2.0530593e-10
MS,2.0415757e-10
APTV,2.0236351e-10
CCI,1.999448e-10
AMAT,1.9988658e-10
RCL,1.9964096e-10
WAT,1.994673e-10
UNP,1.9850897e-10
ADI,1.9837805e-10
NTAP,1.9790859e-10
DAL,1.9523982e-10
META,1.9457794e-10
CHTR,1.9172086e-10
ETR,1.8943176e-10
EXR,1.8751228e-10
AMD,1.8371328e-10
NDAQ,1.8249131e-10
CAT,1.8117002e-10
PAYX,1.807736e-10
OMC,1.8006616e-10
DLR,1.7558227e-10
DOV,1.7263299e-10
MSCI,1.7110738e-10
PANW,1.6936634e-10
TT,1.6910265e-10
AVY,1.683901e-10
TGT,1.6323874e-10
TPR,1.6225539e-10
AES,1.6023129e-10
LEN,1.5969255e-10
AOS,1.5767139e-10
DHR,1.5721936e-10
ALL,1.5686367e-10
AIZ,1.5643759e-10
FRT,1.5390605e-10
TROW,1.5358544e-10
POOL,1.5354448e-10
FIS,1.5081345e-10
GS,1.4903591e-10
PCAR,1.4691624e-10
ADBE,1.4685259e-10
KIM,1.4675508e-10
CSGP,1.4582276e-10
PH,1.4387086e-10
DHI,1.4382204e-10
PPL,1.4357847e-10
PSA,1.4307969e-10
EIX,1.4295178e-10
CTSH,1.4251648e-10
IP,1.4167328e-10
ARE,1.3922337e-10
JBHT,1.367945e-10
NKE,1.3669633e-10
APH,1.3612265e-10
DUK,1.3609744e-10
TRMB,1.3600393e-10
ILMN,1.3598576e-10
ALLE,1.3569271e-10
STE,1.3447156e-10
ESS,1.3358985e-10
EXPD,1.3327073e-10
WBA,1.3276642e-10
TMO,1.3159546e-10
KMI,1.3038146e-10
NUE,1.2871036e-10
IDXX,1.2797648e-10
GE,1.2738659e-10
REG,1.268493e-10
ADP,1.263021e-10
VICI,1.258354e-10
GLW,1.2576289e-10
HD,1.2566963e-10
NRG,1.2464785e-10
BALL,1.2446394e-10
D,1.2438077e-10
EPAM,1.2367009e-10
ALGN,1.233789e-10
J,1.2306449e-10
LRCX,1.2302509e-10
GOOGL,1.2236166e-10
AMP,1.2086974e-10
NFLX,1.2073784e-10
CRM,1.2065585e-10
JCI,1.2020539e-10
IPG,1.1954193e-10
SPG,1.1917536e-10
EVRG,1.164819e-10
FDX,1.16085176e-10
ACGL,1.14871744e-10
WHR,1.1479223e-10
TECH,1.145321e-10
TER,1.1435139e-10
LHX,1.1420834e-10
V,1.1395284e-10
DIS,1.1391229e-10
LMT,1.136591e-10
NI,1.12532705e-10
ICE,1.1197835e-10
HPE,1.1150251e-10
KLAC,1.1089295e-10
INVH,1.0889975e-10
FTV,1.08351834e-10
WYNN,1.08109625e-10
CMS,1.0791664e-10
TRGP,1.0741027e-10
LH,1.06737744e-10
SRE,1.0601953e-10
PFE,1.05591855e-10
EQR,1.04994034e-10
NOW,1.038777e-10
DE,1.0372743e-10
MKTX,1.0368906e-10
CHRW,1.02660186e-10
NEM,1.0216552e-10
A,1.0190706e-10
NSC,1.0176155e-10
DXCM,1.01588876e-10
DTE,1.01500905e-10
ABBV,1.0144035e-10
TFX,1.00976824e-10
CRL,1.0064465e-10
LYB,9.983979e-11
TXT,9.902355e-11
SEDG,9.8049686e-11
PNW,9.796834e-11
PAYC,9.752401e-11
DOW,9.6986655e-11
ES,9.691178e-11
LVS,9.627642e-11
IRM,9.559324e-11
RJF,9.531424e-11
STLD,9.510769e-11
WAB,9.474585e-11
KEYS,9.463807e-11
CPT,9.4552526e-11
LNT,9.437399e-11
UDR,9.320066e-11
BKNG,9.300501e-11
IR,9.2468116e-11
ZBRA,9.233897e-11
BBY,9.2229724e-11
FTNT,9.2200976e-11
NEE,9.200994e-11
WEC,9.1898766e-11
EL,9.163521e-11
ADSK,9.1323324e-11
AVGO,9.132028e-11
MPWR,9.117418e-11
MAR,9.105514e-11
BLK,9.052766e-11
CVX,9.045545e-11
AEE,9.030096e-11
CEG,9.024621e-11
PEG,9.022772e-11
ITW,8.911202e-11
INTU,8.8162845e-11
PPG,8.806875e-11
FMC,8.80684e-11
SBUX,8.794021e-11
EA,8.706256e-11
WMB,8.682365e-11
EXC,8.655974e-11
XOM,8.604535e-11
ATO,8.594913e-11
AMGN,8.588249e-11
CSX,8.577858e-11
MDT,8.514289e-11
SBAC,8.4950214e-11
GEHC,8.4586796e-11
SHW,8.43017e-11
LDOS,8.4219305e-11
HAS,8.420901e-11
IEX,8.4089714e-11
ED,8.3766875e-11
AEP,8.360694e-11
CNP,8.354701e-11
LYV,8.298645e-11
REGN,8.2929934e-11
GILD,8.2927464e-11
TTWO,8.150857e-11
LKQ,8.141906e-11
BG,8.132135e-11
MA,8.067475e-11
AVB,7.983584e-11
ZTS,7.87029e-11
HWM,7.840567e-11
AZO,7.834424e-11
CNC,7.7253086e-11
SO,7.71129e-11
FE,7.683151e-11
BAX,7.680948e-11
BDX,7.5692876e-11
AWK,7.46552e-11
PTC,7.405188e-11
ODFL,7.314084e-11
MAA,7.249545e-11
GD,7.234241e-11
AKAM,7.2328823e-11
UPS,7.1815144e-11
INCY,7.173625e-11
EFX,7.1414014e-11
MSFT,7.138038e-11
PGR,7.111825e-11
CDW,7.0533634e-11
CPRT,6.98237e-11
AFL,6.953429e-11
O,6.946549e-11
AXON,6.94584e-11
EW,6.878065e-11
CMI,6.826481e-11
NVR,6.7717e-11
ACN,6.771088e-11
ORCL,6.755382e-11
HII,6.692557e-11
FDS,6.622558e-11
XEL,6.6134036e-11
PCG,6.605349e-11
LLY,6.586053e-11
CVS,6.5706635e-11
FAST,6.5482925e-11
ALB,6.537348e-11
VZ,6.512624e-11
SNA,6.48231e-11
BIO,6.4623744e-11
LOW,6.454691e-11
HIG,6.428857e-11
HON,6.3818846e-11
FFIV,6.362185e-11
XRAY,6.269132e-11
LW,6.2408634e-11
T,6.2381156e-11
HLT,6.180527e-11
DLTR,6.157867e-11
CME,6.133219e-11
AON,6.044518e-11
RVTY,6.0381374e-11
CI,5.915456e-11
HSIC,5.87893e-11
BRK.B,5.747269e-11
AMCR,5.7382855e-11
L,5.7264325e-11
CBOE,5.7126318e-11
CB,5.688205e-11
NOC,5.682987e-11
PKG,5.680337e-11
CMCSA,5.6467185e-11
ROP,5.6102047e-11
IT,5.5879915e-11
TSCO,5.5715e-11
ELV,5.5459668e-11
CDNS,5.4991893e-11
ULTA,5.491063e-11
NDSN,5.4749365e-11
WST,5.4644216e-11
TYL,5.451747e-11
ISRG,5.3767546e-11
ADM,5.370085e-11
WELL,5.3692537e-11
DPZ,5.3318717e-11
CAH,5.3060365e-11
CSCO,5.293941e-11
WRB,5.2779826e-11
IQV,5.275643e-11
BRO,5.248692e-11
VTR,5.235772e-11
CLX,5.2287376e-11
CMG,5.160604e-11
AMT,5.1557758e-11
TDY,5.1470276e-11
BIIB,5.139562e-11
DVA,5.1244856e-11
COST,5.1239932e-11
TRV,5.1164233e-11
ROK,5.1091954e-11
GWW,5.1076508e-11
MKC,5.0583367e-11
VRSN,5.0468584e-11
TDG,5.0466183e-11
XYL,5.0273813e-11
TEL,5.026775e-11
IBM,4.982556e-11
CINF,4.973368e-11
ABT,4.916534e-11
DG,4.8925627e-11
MNST,4.8750136e-11
GRMN,4.874375e-11
FI,4.8432935e-11
CAG,4.8359993e-11
NWSA,4.747925e-11
ANSS,4.7382095e-11
VMC,4.7222237e-11
MCK,4.7195282e-11
APD,4.705703e-11
MOH,4.6841184e-11
FICO,4.6763246e-11
AJG,4.6504273e-11
UNH,4.645757e-11
MLM,4.6324732e-11
COO,4.5983307e-11
SNPS,4.5729892e-11
MSI,4.421265e-11
TJX,4.412608e-11
HUM,4.3737167e-11
PM,4.3549747e-11
WM,4.3462126e-11
GIS,4.3400537e-11
RTX,4.3368333e-11
GL,4.334552e-11
PWR,4.33009e-11
RSG,4.2858748e-11
ECL,4.2685397e-11
SYK,4.2527277e-11
WTW,4.1604043e-11
AAPL,4.1145542e-11
JNJ,4.1107614e-11
DGX,4.0714494e-11
MTD,4.0548516e-11
UHS,4.038959e-11
HRL,4.0203448e-11
KDP,3.9955487e-11
TMUS,3.9926475e-11
MRK,3.988236e-11
BMY,3.947681e-11
MCO,3.9366118e-11
VRTX,3.9289284e-11
CHD,3.9014424e-11
AME,3.8893503e-11
ROL,3.888177e-11
YUM,3.8726317e-11
BF.B,3.8574838e-11
VRSK,3.8432542e-11
TAP,3.837275e-11
LIN,3.8088817e-11
HSY,3.7650924e-11
KMB,3.7456493e-11
MDLZ,3.7399844e-11
ORLY,3.729841e-11
BSX,3.723141e-11
CTVA,3.6797874e-11
ZBH,3.663227e-11
KR,3.63293e-11
HOLX,3.6300553e-11
MMC,3.6081742e-11
DRI,3.608149e-11
BR,3.6075313e-11
MCD,3.568828e-11
