,Weight
Cash,0.91310436
MPWR,0.023017447
FICO,0.016200116
MTD,0.0089294575
BKNG,0.006842818
NVR,0.005888294
ESS,0.004704718
AIZ,0.0037742134
ZBRA,0.0034060597
TDY,0.0032259764
AMP,0.0030074583
FDS,0.0028881237
POOL,0.0026276966
WAT,0.0023732209
TRGP,9.922877e-06
IP,1.1948497e-07
IRM,6.0109976e-08
AZO,3.6313097e-08
GRMN,1.3528726e-08
FFIV,1.7126971e-09
ABBV,1.6402064e-09
T,1.5072101e-09
IBM,5.814141e-10
PM,4.208937e-10
PTC,4.0712905e-10
JPM,3.2557593e-10
WMB,3.0635638e-10
WMT,2.6618466e-10
TFX,1.4202467e-10
ICE,1.4167577e-10
LIN,1.174726e-10
ETR,1.1596867e-10
WAB,1.0950971e-10
BIO,9.5360095e-11
AXON,8.271761e-11
COST,7.320041e-11
SO,5.882641e-11
WFC,4.6028185e-11
AFL,3.7727755e-11
URI,3.5736504e-11
INTU,3.548289e-11
CME,3.3168048e-11
GILD,3.1699494e-11
CE,2.575623e-11
TDG,2.485048e-11
RSG,2.4143985e-11
CMI,2.3997568e-11
SNA,2.3531012e-11
AKAM,2.1555098e-11
MLM,2.0276685e-11
ECL,1.9358579e-11
AVGO,1.8417745e-11
NDSN,1.8037526e-11
GWW,1.653809e-11
NI,1.5773247e-11
IT,1.5134224e-11
CEG,1.4489021e-11
WTW,1.445639e-11
RVTY,1.4139347e-11
KEYS,1.3927386e-11
AON,1.3316187e-11
MCO,1.3173972e-11
AMGN,1.3119848e-11
NVDA,1.2657415e-11
MSCI,1.2639928e-11
ANET,1.2639761e-11
TYL,1.2614265e-11
TSCO,1.2431539e-11
LLY,1.220525e-11
PPL,1.2091222e-11
RL,1.1934008e-11
BR,1.1841435e-11
AVY,1.175561e-11
REGN,1.1750748e-11
DUK,1.1533291e-11
TMUS,1.122965e-11
GEN,1.1071503e-11
MOH,1.093608e-11
PNR,1.0912806e-11
LDOS,1.0767939e-11
EBAY,1.0712636e-11
NRG,1.0499079e-11
PANW,1.01033374e-11
EQIX,9.917236e-12
ZION,9.58346e-12
PEG,9.064164e-12
STE,9.037868e-12
BLK,8.968886e-12
AMZN,8.720573e-12
HIG,8.404593e-12
HLT,8.3485085e-12
NDAQ,8.334905e-12
GE,8.216823e-12
AMD,8.096208e-12
CRL,8.066682e-12
EPAM,7.845262e-12
INTC,7.84481e-12
DHR,7.657926e-12
PNC,7.5118115e-12
J,7.394199e-12
TRV,7.2152115e-12
PSX,7.1844605e-12
KEY,7.1706196e-12
NWL,7.054779e-12
MHK,6.9781477e-12
PKG,6.9171223e-12
SPG,6.8919553e-12
META,6.8762275e-12
AXP,6.860047e-12
