,Weight
MPWR,0.5220532
Cash,0.4778496
BKNG,8.177584e-05
FICO,1.5581405e-05
IRM,2.8874056e-09
GRMN,2.6482285e-09
IP,2.3899698e-09
JPM,2.0190005e-09
ZBRA,1.0062531e-09
AMP,8.582177e-10
MTD,8.4428353e-10
TRGP,6.0251604e-10
ICE,5.902517e-10
PM,4.691206e-10
AKAM,2.5866356e-10
IBM,2.5423144e-10
CE,2.5020164e-10
LIN,2.39653e-10
WAB,1.8118998e-10
URI,1.0093743e-10
INTC,9.9417086e-11
FDS,9.301265e-11
CEG,8.627146e-11
PTC,8.5679755e-11
NWL,8.459066e-11
AVGO,8.423915e-11
ZION,8.1612564e-11
PNR,7.222521e-11
WFC,6.8937e-11
WAT,6.637969e-11
KEY,6.339949e-11
SLB,6.216565e-11
PSX,5.7545486e-11
HAL,5.5458995e-11
ANET,5.37962e-11
MU,5.3395535e-11
MSCI,5.307515e-11
KEYS,5.2304477e-11
ACN,5.18132e-11
CMI,4.89346e-11
REGN,4.752318e-11
COST,4.6136366e-11
IT,4.5248146e-11
INTU,4.298291e-11
ADBE,4.0492176e-11
COP,3.9656584e-11
APA,3.8996757e-11
MLM,3.841034e-11
APH,3.656397e-11
NRG,3.5974404e-11
AMGN,3.5502854e-11
GEN,3.5495294e-11
NVDA,3.2618314e-11
RHI,3.257239e-11
EOG,3.2369624e-11
MA,3.1880682e-11
V,3.1255772e-11
EBAY,3.069804e-11
DHR,3.0498493e-11
WMB,3.0248724e-11
MPC,3.0036224e-11
QRVO,2.9671092e-11
AFL,2.948937e-11
AIZ,2.9388474e-11
BKR,2.9284054e-11
FANG,2.9066163e-11
ABBV,2.7421941e-11
CARR,2.7238196e-11
AMZN,2.5544157e-11
QCOM,2.4698537e-11
AMD,2.4597598e-11
NDAQ,2.4377052e-11
FCX,2.3868133e-11
BXP,2.3780677e-11
POOL,2.3622547e-11
ADI,2.3461278e-11
CME,2.3389868e-11
MAR,2.216262e-11
MCO,2.2135039e-11
EQIX,2.1223436e-11
