,Weight
Cash,0.91392267
MPWR,0.022829445
FICO,0.016037365
MTD,0.008959086
BKNG,0.006541245
NVR,0.0059687537
ESS,0.004605566
AIZ,0.0036824748
ZBRA,0.003428253
TDY,0.0031480163
POOL,0.0029170697
AMP,0.0029069143
FDS,0.002801145
WAT,0.0022483051
TRGP,3.5550493e-06
IP,3.5579724e-08
AZO,1.9107704e-08
IRM,1.6938467e-08
GRMN,4.1442054e-09
FFIV,5.272762e-10
ABBV,5.0239696e-10
T,3.830386e-10
IBM,1.8272175e-10
PM,1.3069809e-10
PTC,1.2792076e-10
JPM,1.0183747e-10
WMB,9.207651e-11
WMT,8.288953e-11
TFX,5.4861875e-11
ICE,4.5014045e-11
BIO,4.2708344e-11
LIN,3.7771456e-11
ETR,3.6315857e-11
WAB,3.5008527e-11
AXON,2.6770025e-11
COST,2.3040415e-11
SO,1.8803613e-11
WFC,1.479365e-11
URI,1.2494734e-11
AFL,1.2102842e-11
INTU,1.16672574e-11
CME,1.051505e-11
GILD,1.0230315e-11
TDG,1.0083033e-11
SNA,9.4380745e-12
CE,8.919757e-12
CMI,8.2249745e-12
NDSN,8.1405395e-12
RSG,7.979774e-12
AKAM,7.196804e-12
MLM,7.1405165e-12
GWW,7.0668475e-12
ECL,6.5343998e-12
AVGO,6.1622487e-12
IT,5.408728e-12
NI,5.310463e-12
WTW,5.0949817e-12
RVTY,5.0261136e-12
CEG,4.913641e-12
TYL,4.8547906e-12
KEYS,4.799065e-12
MCO,4.613463e-12
MSCI,4.5762907e-12
AON,4.5627846e-12
AMGN,4.3996313e-12
AVY,4.3988177e-12
NVDA,4.315784e-12
BR,4.29044e-12
ANET,4.2855116e-12
TSCO,4.260341e-12
RL,4.171664e-12
LLY,4.1627903e-12
PPL,4.1399943e-12
REGN,4.051655e-12
DUK,3.964291e-12
MOH,3.9097744e-12
TMUS,3.838784e-12
PNR,3.7940736e-12
GEN,3.7785088e-12
LDOS,3.7724524e-12
EQIX,3.670605e-12
NRG,3.6197497e-12
EBAY,3.615184e-12
PANW,3.4543189e-12
BLK,3.3763574e-12
STE,3.3668023e-12
ZION,3.328189e-12
PEG,3.172721e-12
CRL,3.1327714e-12
EPAM,3.0895523e-12
AMZN,3.030419e-12
HIG,2.9604927e-12
HLT,2.9267376e-12
NDAQ,2.9055426e-12
GE,2.8610966e-12
AMD,2.8327544e-12
INTC,2.7346083e-12
J,2.7243674e-12
DHR,2.698825e-12
MHK,2.69033e-12
PNC,2.6690722e-12
PKG,2.5997138e-12
TRV,2.5899367e-12
GNRC,2.5696502e-12
PSX,2.5412426e-12
KEY,2.5301523e-12
SPG,2.5146365e-12
NWL,2.4701484e-12
AXP,2.4341638e-12
META,2.4205397e-12
QCOM,2.369963e-12
MRNA,2.3136868e-12
PAYC,2.2003072e-12
MA,2.1962551e-12
QRVO,2.1683636e-12
GS,2.1468083e-12
IDXX,2.135688e-12
MKTX,2.1086121e-12
CTAS,2.0954178e-12
PFG,2.0348313e-12
BAC,2.0259831e-12
GL,2.0152825e-12
MPC,2.0109788e-12
MAR,1.9766415e-12
PRU,1.9571135e-12
VRTX,1.9570504e-12
ADSK,1.9416385e-12
KLAC,1.9014525e-12
TRMB,1.8936866e-12
VTRS,1.8906977e-12
IFF,1.8852257e-12
RHI,1.8767054e-12
LH,1.8452633e-12
MU,1.8345598e-12
A,1.8287778e-12
CRM,1.8211203e-12
ADBE,1.8123633e-12
RJF,1.7827026e-12
ACN,1.782581e-12
OKE,1.7627608e-12
ALL,1.7618845e-12
L,1.7526278e-12
SLB,1.7209146e-12
HII,1.7205549e-12
MSFT,1.6834739e-12
TT,1.6722562e-12
LNT,1.6645961e-12
AJG,1.6447634e-12
HAL,1.643511e-12
TMO,1.629986e-12
FANG,1.6177144e-12
APH,1.6053512e-12
EFX,1.5966111e-12
LRCX,1.5939316e-12
WST,1.5611693e-12
TSN,1.5591911e-12
PH,1.5580179e-12
VLO,1.554063e-12
ILMN,1.5291909e-12
FRT,1.5267568e-12
GOOGL,1.5086387e-12
JNJ,1.5043819e-12
NFLX,1.5043816e-12
DTE,1.4971003e-12
EXPE,1.4944406e-12
CBRE,1.4863638e-12
IR,1.4837498e-12
V,1.4827638e-12
MTB,1.4675403e-12
JKHY,1.4665608e-12
KMI,1.4649168e-12
ADI,1.4530766e-12
EOG,1.4434411e-12
IQV,1.4404524e-12
MCK,1.4180149e-12
DLR,1.4143614e-12
IEX,1.404903e-12
CBOE,1.3991443e-12
SYF,1.3875378e-12
NEM,1.3845699e-12
ALGN,1.3831057e-12
DGX,1.380171e-12
FTNT,1.3770656e-12
JBHT,1.3634362e-12
