,Weight
Cash,0.41257828
FICO,0.354197
MPWR,0.17420231
BKNG,0.05901988
IRM,4.220092e-07
GRMN,4.1509975e-07
IP,3.8914754e-07
AMP,2.7584878e-07
JPM,1.6792885e-07
MTD,1.2088123e-07
ZBRA,5.8917493e-08
TRGP,5.4259587e-08
URI,5.2768513e-08
ICE,4.6607134e-08
PM,4.00063e-08
IBM,2.4082091e-08
LIN,2.2073094e-08
WAB,2.2046017e-08
PTC,1.8982126e-08
WAT,1.3036205e-08
CE,1.1101987e-08
FDS,9.323499e-09
AKAM,7.741831e-09
WFC,5.719588e-09
NVR,5.5438174e-09
CMI,5.3173324e-09
PNR,5.228589e-09
ANET,5.158363e-09
AVGO,4.9563096e-09
INTU,4.6658197e-09
KEYS,4.633439e-09
MLM,4.599983e-09
ZION,4.573834e-09
COST,4.2704587e-09
KEY,4.2181627e-09
CEG,3.45454e-09
REGN,3.3513265e-09
INTC,3.1421263e-09
IT,2.974132e-09
NWL,2.9024074e-09
MSCI,2.901095e-09
FFIV,2.75096e-09
PSX,2.6934848e-09
GEN,2.4778268e-09
QRVO,2.4757945e-09
AIZ,2.3876157e-09
AFL,2.3005382e-09
MCO,2.2857418e-09
POOL,2.2572035e-09
DHR,2.256165e-09
AXON,2.1358784e-09
MA,2.1076323e-09
NVDA,2.0334068e-09
NDAQ,2.023061e-09
EBAY,2.0215154e-09
NRG,1.9790019e-09
ABBV,1.8736828e-09
APH,1.8338937e-09
MU,1.8040425e-09
WMB,1.7852446e-09
ACN,1.7664579e-09
V,1.7460142e-09
AMZN,1.7374887e-09
AXP,1.6928792e-09
AMGN,1.6459192e-09
BLK,1.5898847e-09
SPG,1.5502856e-09
SLB,1.5319892e-09
QCOM,1.5129411e-09
PFG,1.4576071e-09
RHI,1.4544547e-09
TT,1.4479954e-09
ADBE,1.4325683e-09
BR,1.4089728e-09
MAR,1.4076785e-09
LLY,1.4025927e-09
GS,1.3989128e-09
HLT,1.3839521e-09
COP,1.3663887e-09
FANG,1.3131043e-09
HAL,1.3058885e-09
ADI,1.2994255e-09
HIG,1.293355e-09
MPC,1.291937e-09
PRU,1.2360138e-09
EOG,1.229893e-09
ECL,1.1911927e-09
PNC,1.1714095e-09
AVY,1.1641605e-09
TMO,1.1530943e-09
CME,1.1395139e-09
CRM,1.1307701e-09
EQIX,1.1256422e-09
RVTY,1.1188871e-09
AMD,1.0956513e-09
ETN,1.0895718e-09
CSCO,1.0763767e-09
TSCO,1.0654913e-09
USB,1.049253e-09
MET,1.0466448e-09
J,1.0445879e-09
A,1.0392416e-09
RSG,1.0288754e-09
CTAS,1.0283925e-09
PHM,1.0281389e-09
MHK,9.947081e-10
RL,9.86849e-10
APA,9.483975e-10
FTV,9.308229e-10
PCAR,9.248625e-10
CARR,9.2461105e-10
CAT,9.2004016e-10
OKE,9.177635e-10
MOH,9.10625e-10
LH,9.1062186e-10
FCX,8.958954e-10
PAYC,8.8956215e-10
AZO,8.829344e-10
BKR,8.7294233e-10
ESS,8.683282e-10
PKG,8.66815e-10
