,Weight
Cash,0.7515759
ZION,3.3077548e-11
KEY,2.1014902e-11
CMA,6.1623293e-12
TFC,5.670979e-12
CFG,5.449848e-12
FITB,5.068035e-12
RF,3.746681e-12
VFC,3.4230396e-12
USB,2.4746607e-12
HBAN,2.2872676e-12
NCLH,1.076058e-12
HAL,1.0646135e-12
NWL,7.7532886e-13
CZR,7.142251e-13
APA,6.854564e-13
LNC,6.6594484e-13
PNC,6.009937e-13
SLB,5.8199983e-13
INTC,4.726259e-13
WDC,4.652619e-13
BKR,4.228597e-13
FCX,4.1761494e-13
PSX,3.9958645e-13
CE,3.7096446e-13
ETSY,3.6638281e-13
COF,3.3391362e-13
WFC,3.3313088e-13
WBD,3.2575402e-13
MU,3.1153384e-13
ENPH,3.0537562e-13
IVZ,2.9968337e-13
STT,2.9821227e-13
DVN,2.9049883e-13
FANG,2.887655e-13
BAC,2.885686e-13
EBAY,2.858412e-13
AAP,2.721866e-13
GNRC,2.659471e-13
BXP,2.632057e-13
SWK,2.6264264e-13
SYF,2.5789389e-13
GEN,2.4799607e-13
CARR,2.474919e-13
MPC,2.3712003e-13
PARA,2.3540913e-13
ON,2.2716475e-13
QCOM,2.2674556e-13
EMN,2.1923957e-13
MGM,2.097592e-13
BEN,2.0860456e-13
URI,2.0850692e-13
MTB,2.055628e-13
MOS,2.0005591e-13
COP,1.963105e-13
PRU,1.9616071e-13
EOG,1.9366975e-13
VLO,1.8551798e-13
MCHP,1.831357e-13
MHK,1.7979874e-13
GM,1.7821489e-13
TSN,1.7786923e-13
PYPL,1.7269914e-13
AAL,1.6904402e-13
QRVO,1.6833595e-13
MET,1.677028e-13
DD,1.6745928e-13
HES,1.6623329e-13
MMM,1.6569023e-13
PNR,1.652676e-13
OXY,1.6373419e-13
CBRE,1.6190467e-13
HPQ,1.5725415e-13
EXPE,1.5539058e-13
LUV,1.5414464e-13
SWKS,1.5200815e-13
CCL,1.5031951e-13
BK,1.4978149e-13
CF,1.4881973e-13
NXPI,1.4638861e-13
SEE,1.4498861e-13
OGN,1.4368339e-13
STX,1.4027864e-13
KMX,1.4009177e-13
MTCH,1.3782119e-13
PHM,1.3697648e-13
ANET,1.3204154e-13
FSLR,1.3114194e-13
RHI,1.3079658e-13
TSLA,1.3072329e-13
MAS,1.2605668e-13
HST,1.2409878e-13
ALK,1.2409064e-13
OKE,1.2200787e-13
OTIS,1.157805e-13
DXC,1.1548106e-13
SCHW,1.1061155e-13
CTRA,1.0481337e-13
NVDA,1.045743e-13
VTRS,1.0342259e-13
F,1.0309939e-13
AMZN,1.0239891e-13
NTRS,9.8751024e-14
EMR,9.8061824e-14
RL,9.804952e-14
META,9.703601e-14
WAT,9.696403e-14
GPN,9.4900284e-14
MRNA,9.4760354e-14
UNP,9.380268e-14
ETN,9.2552966e-14
ETR,9.2450604e-14
CCI,9.225471e-14
EXR,9.069287e-14
BA,9.002656e-14
PLD,8.955639e-14
UAL,8.927971e-14
MSCI,8.912671e-14
MPWR,8.8718624e-14
C,8.81392e-14
POOL,8.631946e-14
PFG,8.576562e-14
DLR,8.5718806e-14
AIG,8.4903615e-14
IFF,8.4574464e-14
BBWI,8.403376e-14
OMC,8.325248e-14
AMD,8.1739506e-14
PANW,8.173914e-14
AVY,8.078727e-14
AXP,8.026263e-14
RCL,8.022785e-14
PAYX,7.997238e-14
NTAP,7.980796e-14
TT,7.959174e-14
APTV,7.918249e-14
STE,7.897797e-14
EQT,7.8029034e-14
TXN,7.790791e-14
BWA,7.648683e-14
DOV,7.63531e-14
AES,7.612937e-14
ADI,7.533356e-14
DHR,7.520279e-14
KLAC,7.506569e-14
CHTR,7.496927e-14
TGT,7.3966203e-14
NDAQ,7.3529595e-14
PH,7.3369594e-14
AOS,7.269363e-14
FRT,7.249572e-14
IDXX,7.239366e-14
PSA,7.1849034e-14
AMAT,7.1172296e-14
LEN,7.09046e-14
CSGP,7.072234e-14
DAL,7.0425524e-14
LRCX,7.0017024e-14
ALGN,6.923012e-14
MS,6.900247e-14
EIX,6.878277e-14
PPL,6.8612095e-14
CAT,6.848693e-14
ALLE,6.838567e-14
ESS,6.795941e-14
JPM,6.715935e-14
ADBE,6.604069e-14
EXPD,6.561048e-14
DUK,6.528859e-14
AIZ,6.502748e-14
DHI,6.4732826e-14
ILMN,6.406586e-14
ARE,6.402198e-14
EPAM,6.391671e-14
TROW,6.319148e-14
TMO,6.277654e-14
WBA,6.2424966e-14
