,Weight
MPWR,0.6070471
Cash,0.3928928
MTD,6.0279217e-05
FICO,2.87511e-10
BKNG,9.729407e-11
GRMN,7.613477e-14
PTC,5.757102e-14
FFIV,5.371247e-14
IP,4.918512e-14
TRGP,3.8855803e-14
IBM,3.8470027e-14
AMP,3.7028076e-14
IRM,3.3786216e-14
PM,3.373386e-14
WAT,3.2911692e-14
JPM,3.2908175e-14
WAB,3.2623962e-14
ICE,3.229026e-14
ZBRA,3.2210332e-14
FDS,3.1795567e-14
LIN,3.1326328e-14
NVR,3.112884e-14
URI,2.9890834e-14
AKAM,2.9575175e-14
CE,2.939601e-14
MLM,2.861642e-14
AXON,2.8330086e-14
MSCI,2.8141851e-14
ZION,2.7591168e-14
PNR,2.7571688e-14
CMI,2.7559067e-14
WFC,2.7446271e-14
IT,2.7359945e-14
INTC,2.7282989e-14
CEG,2.7139557e-14
POOL,2.6960654e-14
NWL,2.6882834e-14
AVGO,2.6456554e-14
KEYS,2.6265862e-14
AIZ,2.6067968e-14
COST,2.5865992e-14
INTU,2.5798143e-14
KEY,2.5720377e-14
REGN,2.5271065e-14
BR,2.4573903e-14
ANET,2.4544735e-14
ACN,2.4369522e-14
PSX,2.424721e-14
AZO,2.418394e-14
AMGN,2.4135221e-14
SLB,2.399597e-14
BLK,2.3947329e-14
MCO,2.374948e-14
EQIX,2.365888e-14
TDG,2.3605965e-14
RHI,2.3522427e-14
DHR,2.3343594e-14
EBAY,2.3282281e-14
NRG,2.2985813e-14
AFL,2.2923415e-14
MA,2.271514e-14
ADBE,2.2669685e-14
GEN,2.2628216e-14
HAL,2.2583211e-14
NDAQ,2.2461291e-14
MAR,2.2331153e-14
MU,2.2280653e-14
ABBV,2.2238621e-14
STE,2.193032e-14
V,2.183342e-14
AMZN,2.1778284e-14
WMB,2.1777054e-14
CME,2.1669358e-14
NVDA,2.161739e-14
APH,2.1542e-14
COP,2.1334786e-14
LLY,2.1245097e-14
SPG,2.1199309e-14
QRVO,2.1007859e-14
PAYC,2.0817446e-14
MPC,2.0710552e-14
AXP,2.0656142e-14
APA,2.0625459e-14
EOG,2.0575166e-14
PFG,2.0494123e-14
PRU,2.0391207e-14
AVY,2.0383734e-14
CTAS,2.0201261e-14
TDY,2.010974e-14
LH,1.9976313e-14
CARR,1.9972158e-14
RVTY,1.9932683e-14
GWW,1.9904514e-14
FANG,1.9881008e-14
ESS,1.9809056e-14
BKR,1.9724041e-14
HLT,1.968043e-14
CBRE,1.9642714e-14
BIO,1.9610339e-14
A,1.9604652e-14
CSCO,1.9546408e-14
GS,1.9511743e-14
TYL,1.9492385e-14
EPAM,1.9228778e-14
CRM,1.92176e-14
TT,1.9183404e-14
RL,1.9041999e-14
PCAR,1.895401e-14
BXP,1.8838333e-14
PNC,1.8759435e-14
TMO,1.8720948e-14
USB,1.8671088e-14
PWR,1.8651828e-14
ADI,1.8640434e-14
PH,1.8599404e-14
AMD,1.8591042e-14
J,1.8568419e-14
SNA,1.856016e-14
PHM,1.8517418e-14
IDXX,1.8498554e-14
ETN,1.8405147e-14
OKE,1.8348978e-14
QCOM,1.8323943e-14
TFX,1.8246392e-14
RSG,1.8083513e-14
HIG,1.8081165e-14
CBOE,1.794148e-14
NDSN,1.781643e-14
FRT,1.772697e-14
WMT,1.7715743e-14
FCX,1.7709343e-14
ADSK,1.7671035e-14
GNRC,1.754611e-14
MOH,1.7524554e-14
RJF,1.7520179e-14
PKG,1.7456209e-14
DLR,1.7411148e-14
CFG,1.740153e-14
VTRS,1.7380008e-14
MHK,1.7377293e-14
HES,1.7285515e-14
ILMN,1.7281464e-14
CAT,1.7212267e-14
CVS,1.7093958e-14
MET,1.7081517e-14
CDW,1.6967302e-14
ETR,1.6938943e-14
EXPE,1.6938184e-14
SYF,1.69288e-14
VLO,1.681921e-14
VRTX,1.67691e-14
REG,1.6760685e-14
EXPD,1.6699007e-14
FTV,1.6654345e-14
VRSK,1.6533194e-14
ANSS,1.644331e-14
LRCX,1.6363213e-14
MGM,1.6337245e-14
TSCO,1.6287612e-14
META,1.6219805e-14
DE,1.6213449e-14
PPL,1.6210283e-14
DUK,1.6199138e-14
MMM,1.6170967e-14
STX,1.6167604e-14
KLAC,1.6166783e-14
WDC,1.6120472e-14
CRL,1.6102203e-14
MKTX,1.6050517e-14
ACGL,1.6021659e-14
TSN,1.6000278e-14
GPN,1.594623e-14
GE,1.5841156e-14
IQV,1.572872e-14
L,1.5677685e-14
NFLX,1.5613353e-14
EFX,1.5543451e-14
