,Weight
Cash,0.91110367
MPWR,0.0239126
FICO,0.016584704
MTD,0.009212448
BKNG,0.0076269824
NVR,0.0060442877
ESS,0.0050895563
AIZ,0.0039771674
ZBRA,0.0036659595
TDY,0.0034468044
AMP,0.0032540024
FDS,0.0031409552
WAT,0.0025926246
POOL,0.0003285456
TRGP,1.9104225e-05
IP,2.7737497e-07
IRM,1.4814664e-07
AZO,5.776749e-08
GRMN,3.1769943e-08
T,4.025952e-09
FFIV,4.0090877e-09
ABBV,3.8336503e-09
IBM,1.3361152e-09
PM,9.778534e-10
PTC,9.360783e-10
JPM,7.527601e-10
WMB,7.2871836e-10
WMT,6.174631e-10
ICE,3.2456557e-10
TFX,3.1248246e-10
ETR,2.6927813e-10
LIN,2.6705738e-10
WAB,2.5099178e-10
AXON,1.9056377e-10
BIO,1.7820773e-10
COST,1.6979722e-10
SO,1.3509073e-10
WFC,1.0532916e-10
AFL,8.656863e-11
INTU,7.996602e-11
URI,7.8248553e-11
CME,7.7147885e-11
GILD,7.263254e-11
CE,5.599285e-11
RSG,5.4722216e-11
CMI,5.3207376e-11
TDG,5.153027e-11
SNA,4.9082554e-11
AKAM,4.8014225e-11
MLM,4.428886e-11
ECL,4.3195343e-11
AVGO,4.0996154e-11
NI,3.5540116e-11
NDSN,3.5040883e-11
GWW,3.3149098e-11
IT,3.276682e-11
CEG,3.2039964e-11
WTW,3.196777e-11
RVTY,3.1110232e-11
KEYS,3.06879e-11
AON,2.9655483e-11
AMGN,2.9595267e-11
MCO,2.9051036e-11
ANET,2.8037132e-11
NVDA,2.7880349e-11
TSCO,2.7677208e-11
MSCI,2.7444566e-11
LLY,2.719441e-11
PPL,2.6971234e-11
TYL,2.6851462e-11
RL,2.6446872e-11
BR,2.605823e-11
REGN,2.6031401e-11
DUK,2.5816382e-11
TMUS,2.5286424e-11
AVY,2.507287e-11
GEN,2.4621877e-11
EBAY,2.4087564e-11
PNR,2.398169e-11
MOH,2.3875697e-11
LDOS,2.360255e-11
NRG,2.3102038e-11
PANW,2.2511057e-11
EQIX,2.134117e-11
ZION,2.1085786e-11
PEG,2.0183738e-11
STE,1.9435387e-11
AMZN,1.9176122e-11
BLK,1.916164e-11
NDAQ,1.8505574e-11
HIG,1.848881e-11
HLT,1.8401908e-11
GE,1.8040555e-11
AMD,1.7651882e-11
INTC,1.7144779e-11
CRL,1.690171e-11
DHR,1.6809738e-11
PNC,1.647652e-11
EPAM,1.6390564e-11
J,1.60159e-11
TRV,1.5788586e-11
KEY,1.5678556e-11
PSX,1.5667087e-11
NWL,1.5435452e-11
META,1.507459e-11
AXP,1.5050444e-11
SPG,1.490331e-11
QCOM,1.4856059e-11
PKG,1.4814934e-11
MHK,1.4630361e-11
GNRC,1.4365734e-11
MRNA,1.4156674e-11
MA,1.3599364e-11
QRVO,1.3106235e-11
GS,1.3038557e-11
PAYC,1.235258e-11
BAC,1.2305586e-11
MPC,1.2301355e-11
CTAS,1.19380434e-11
IDXX,1.1912017e-11
GL,1.1803084e-11
MAR,1.17868805e-11
PFG,1.1702315e-11
PRU,1.1680444e-11
MKTX,1.16031984e-11
VRTX,1.1600104e-11
ADSK,1.1550827e-11
MU,1.1212372e-11
VTRS,1.1197978e-11
ADBE,1.1065183e-11
CRM,1.10606255e-11
TRMB,1.10114955e-11
IFF,1.0880743e-11
RHI,1.0868586e-11
KLAC,1.0806809e-11
A,1.07953785e-11
ACN,1.0616965e-11
LH,1.0510661e-11
OKE,1.0492087e-11
SLB,1.0381829e-11
ALL,1.0380789e-11
RJF,1.0052826e-11
MSFT,9.97714e-12
HAL,9.856982e-12
L,9.810139e-12
TT,9.771682e-12
APH,9.708109e-12
FANG,9.497522e-12
LNT,9.422404e-12
TMO,9.373094e-12
LRCX,9.3690585e-12
VLO,9.151702e-12
AJG,9.150738e-12
TSN,9.07752e-12
GOOGL,8.892092e-12
EXPE,8.821492e-12
ILMN,8.816463e-12
IR,8.800021e-12
V,8.771504e-12
NFLX,8.729689e-12
JNJ,8.6319025e-12
ADI,8.58814e-12
CBRE,8.512866e-12
HII,8.4786145e-12
EFX,8.380252e-12
EOG,8.332086e-12
PH,8.329415e-12
KMI,8.3079064e-12
FTNT,8.150129e-12
CARR,8.0563785e-12
DTE,8.047569e-12
FRT,8.04513e-12
SYF,7.981537e-12
DLR,7.918368e-12
CSCO,7.888328e-12
NEM,7.846811e-12
CBOE,7.8385866e-12
APA,7.792197e-12
WST,7.775177e-12
MCK,7.739763e-12
STX,7.7362795e-12
CVS,7.728845e-12
IQV,7.725665e-12
PGR,7.660815e-12
FI,7.641059e-12
ETN,7.593495e-12
MTB,7.590341e-12
EXPD,7.527789e-12
WRB,7.444306e-12
DGX,7.441904e-12
CHTR,7.441265e-12
CDW,7.427776e-12
CB,7.399892e-12
ALGN,7.393006e-12
JKHY,7.2619966e-12
MET,7.223276e-12
PAYX,7.1806007e-12
BXP,7.1563705e-12
JBHT,7.1360244e-12
BKR,7.103593e-12
CFG,7.079037e-12
SRE,7.053442e-12
DE,7.0301573e-12
HBAN,6.87123e-12
TECH,6.8157563e-12
COP,6.810266e-12
USB,6.7692796e-12
HES,6.700546e-12
EA,6.6989014e-12
PCAR,6.6781723e-12
IEX,6.661143e-12
WDC,6.6266615e-12
NTAP,6.6266563e-12
VRSK,6.5975103e-12
ORCL,6.584784e-12
LEN,6.3580074e-12
EQT,6.333011e-12
LYV,6.3270504e-12
CMG,6.292439e-12
C,6.2124954e-12
D,6.211609e-12
ENPH,6.1926224e-12
ROK,6.1583195e-12
EIX,6.152041e-12
SWKS,6.035913e-12
PWR,6.0224803e-12
PNW,5.9141208e-12
PHM,5.8999715e-12
CAT,5.899694e-12
FCX,5.866312e-12
GPN,5.8655724e-12
VFC,5.8127014e-12
APD,5.812648e-12
ACGL,5.7998966e-12
ATO,5.7660396e-12
AEE,5.697582e-12
VTR,5.681369e-12
ETSY,5.649494e-12
LUV,5.6400327e-12
MMC,5.6183313e-12
EXR,5.614547e-12
EXC,5.597095e-12
KO,5.5288565e-12
PCG,5.494236e-12
MMM,5.442779e-12
EVRG,5.4360756e-12
TER,5.4347074e-12
TFC,5.4277485e-12
MGM,5.4142307e-12
PSA,5.4089016e-12
CMS,5.3990454e-12
ALK,5.3268306e-12
UNP,5.2567495e-12
ROL,5.2435187e-12
SPGI,5.241087e-12
CMA,5.2189923e-12
ANSS,5.2161045e-12
NTRS,5.211752e-12
CINF,5.194718e-12
INCY,5.1763142e-12
CL,5.1551996e-12
WHR,5.13179e-12
FTV,5.0481685e-12
CI,5.0453886e-12
AVB,5.0379262e-12
SHW,4.9923603e-12
REG,4.905469e-12
PYPL,4.8922372e-12
LW,4.8637314e-12
ED,4.794761e-12
CF,4.779698e-12
ROP,4.7027378e-12
MS,4.660318e-12
ORLY,4.6528445e-12
FSLR,4.5502773e-12
FITB,4.55023e-12
UNH,4.457298e-12
FE,4.4533617e-12
HD,4.4401787e-12
KR,4.439075e-12
AAP,4.421615e-12
STT,4.416101e-12
DVA,4.3820993e-12
SCHW,4.357497e-12
CHD,4.3487713e-12
DXC,4.345555e-12
EMN,4.3443864e-12
TSLA,4.333194e-12
NXPI,4.2753526e-12
AMAT,4.225629e-12
RCL,4.2100173e-12
GD,4.203058e-12
BK,4.199828e-12
MAS,4.1877305e-12
NOW,4.134042e-12
CTRA,4.0840777e-12
FDX,4.0762853e-12
NEE,4.07103e-12
ZTS,4.0575347e-12
BRO,4.010069e-12
COF,4.0036204e-12
RF,3.990819e-12
AWK,3.9780813e-12
OGN,3.969582e-12
CNP,3.952009e-12
ODFL,3.951981e-12
DD,3.951961e-12
TXT,3.9456728e-12
DVN,3.916164e-12
MTCH,3.915945e-12
AEP,3.8652887e-12
WELL,3.85818e-12
TXN,3.844102e-12
CZR,3.8142835e-12
AOS,3.7324688e-12
SWK,3.7029954e-12
MAA,3.6389698e-12
FIS,3.6074093e-12
VMC,3.5978388e-12
WBD,3.554596e-12
TAP,3.53702e-12
OMC,3.5261848e-12
ALLE,3.499601e-12
IVZ,3.4975406e-12
BALL,3.4936708e-12
OXY,3.489764e-12
CPT,3.4802077e-12
NUE,3.47966e-12
ABT,3.476367e-12
SEDG,3.4658788e-12
PLD,3.450144e-12
ADP,3.4493738e-12
DHI,3.4409476e-12
NSC,3.4404907e-12
UHS,3.4201565e-12
SBAC,3.4163588e-12
NOC,3.395004e-12
HST,3.390052e-12
INVH,3.3715554e-12
HPQ,3.354895e-12
BBWI,3.3508066e-12
PFE,3.325572e-12
MOS,3.3244113e-12
MCHP,3.312822e-12
MSI,3.2776744e-12
WEC,3.2749144e-12
XEL,3.2675e-12
ES,3.2302529e-12
SEE,3.228671e-12
BA,3.2267691e-12
CVX,3.2218772e-12
GEHC,3.2109528e-12
STZ,3.2085285e-12
ISRG,3.203778e-12
ON,3.1684091e-12
HPE,3.1625744e-12
KMX,3.1359134e-12
XOM,3.1328573e-12
AAPL,3.1309926e-12
BG,3.1302857e-12
DOV,3.085505e-12
STLD,3.0611245e-12
CNC,2.9970195e-12
ARE,2.9913147e-12
NKE,2.984432e-12
CHRW,2.9554848e-12
OTIS,2.9496778e-12
FMC,2.9457957e-12
CAH,2.943105e-12
HRL,2.9302012e-12
DIS,2.9187395e-12
DXCM,2.9149836e-12
PODD,2.8648642e-12
EQR,2.8259907e-12
DPZ,2.8239151e-12
HUM,2.7537857e-12
O,2.749916e-12
BRK.B,2.7441834e-12
PARA,2.7261654e-12
LVS,2.7259748e-12
TTWO,2.7226548e-12
NCLH,2.7209198e-12
CSX,2.7130574e-12
PG,2.7075397e-12
EW,2.6826633e-12
F,2.6769303e-12
ITW,2.676571e-12
KDP,2.6608117e-12
BWA,2.645903e-12
LHX,2.618268e-12
LNC,2.617904e-12
WBA,2.59675e-12
AIG,2.5890943e-12
BIIB,2.585616e-12
GLW,2.5523403e-12
VZ,2.530167e-12
AMT,2.529799e-12
HOLX,2.529011e-12
COO,2.5133608e-12
EMR,2.5091947e-12
RMD,2.5055396e-12
SNPS,2.4747745e-12
HWM,2.468426e-12
CCI,2.459161e-12
BEN,2.454619e-12
MDT,2.4213418e-12
LOW,2.4165296e-12
LMT,2.415882e-12
KIM,2.4125175e-12
UAL,2.4117425e-12
BSX,2.3866226e-12
EL,2.3842016e-12
WM,2.366612e-12
CPRT,2.3650736e-12
LYB,2.3519075e-12
ULTA,2.319311e-12
BDX,2.2837223e-12
APTV,2.2808613e-12
CCL,2.275162e-12
AES,2.2429211e-12
SYK,2.2047776e-12
ELV,2.2023717e-12
TJX,2.1767013e-12
YUM,2.1649106e-12
UDR,2.1494436e-12
MKC,2.1320723e-12
SBUX,2.0904496e-12
DRI,2.071598e-12
PEP,2.0543515e-12
BF.B,2.0459214e-12
CTSH,2.0358214e-12
AMCR,2.0082993e-12
HAS,1.9949843e-12
CSGP,1.9886506e-12
ADM,1.9555716e-12
DLTR,1.9543828e-12
UPS,1.9510758e-12
TPR,1.9456773e-12
GPC,1.9200093e-12
CLX,1.9195205e-12
NWSA,1.906128e-12
IPG,1.8929107e-12
JCI,1.8919514e-12
CTVA,1.887563e-12
TROW,1.8870938e-12
DAL,1.884855e-12
CDNS,1.859082e-12
RTX,1.85234e-12
XRAY,1.8398972e-12
HCA,1.8259311e-12
BMY,1.8171047e-12
CPB,1.8144239e-12
MDLZ,1.7950296e-12
SJM,1.7802763e-12
HSIC,1.7801471e-12
KHC,1.7641293e-12
KMB,1.7638133e-12
WYNN,1.7391921e-12
WY,1.7368725e-12
BAX,1.6875673e-12
GIS,1.6563262e-12
SYY,1.6497822e-12
LKQ,1.6317886e-12
MRK,1.6291317e-12
AME,1.6202487e-12
VRSN,1.6140805e-12
CMCSA,1.5650605e-12
XYL,1.5626676e-12
DG,1.562156e-12
FAST,1.5560132e-12
ALB,1.5498102e-12
GM,1.5369891e-12
K,1.5231118e-12
VICI,1.4818553e-12
FOXA,1.3787919e-12
ZBH,1.3732408e-12
HON,1.3647936e-12
HSY,1.325857e-12
PPG,1.3197259e-12
MNST,1.299499e-12
CAG,1.2802027e-12
DOW,1.2674568e-12
BBY,1.2140804e-12
MO,1.1891519e-12
AAL,1.1867463e-12
ROST,1.1496404e-12
TEL,1.14493e-12
MCD,1.0604859e-12
TGT,1.0105872e-12
