,Weight
FICO,0.53253543
Cash,0.31867135
BKNG,0.14724997
MPWR,0.0015391698
GRMN,7.155199e-07
IRM,7.013785e-07
IP,6.704882e-07
AMP,5.2915607e-07
JPM,2.6692163e-07
MTD,1.9067801e-07
URI,1.1820241e-07
ZBRA,9.1219405e-08
TRGP,8.638893e-08
ICE,7.340667e-08
PM,6.41765e-08
IBM,3.8378143e-08
WAB,3.6021337e-08
LIN,3.5754304e-08
PTC,3.5251222e-08
WAT,2.4118375e-08
CE,1.708558e-08
FDS,1.5018864e-08
AKAM,1.1695259e-08
NVR,1.1613501e-08
WFC,9.161506e-09
CMI,8.766909e-09
PNR,8.283796e-09
ANET,8.128107e-09
MLM,7.638937e-09
KEYS,7.563745e-09
INTU,7.520312e-09
AVGO,7.491603e-09
ZION,7.043843e-09
COST,6.7654113e-09
KEY,6.653723e-09
CEG,5.2592144e-09
REGN,5.213841e-09
FFIV,4.93502e-09
INTC,4.731738e-09
IT,4.643718e-09
MSCI,4.4859365e-09
NWL,4.434176e-09
PSX,4.169323e-09
QRVO,3.9655625e-09
GEN,3.938067e-09
AIZ,3.812289e-09
POOL,3.741685e-09
MCO,3.6526593e-09
AFL,3.6423768e-09
AXON,3.6413372e-09
DHR,3.5651229e-09
MA,3.3167622e-09
NDAQ,3.2556302e-09
EBAY,3.199493e-09
NVDA,3.1195326e-09
NRG,3.0569203e-09
ABBV,2.928424e-09
APH,2.8118945e-09
WMB,2.773574e-09
MU,2.7318563e-09
AMZN,2.7206184e-09
V,2.7169758e-09
AXP,2.70261e-09
ACN,2.6745048e-09
BLK,2.5172233e-09
AMGN,2.516033e-09
SPG,2.4361129e-09
QCOM,2.3495443e-09
SLB,2.312218e-09
TT,2.307313e-09
PFG,2.3029083e-09
BR,2.2475073e-09
RHI,2.2387199e-09
LLY,2.1988213e-09
GS,2.192684e-09
MAR,2.1858784e-09
HLT,2.174902e-09
ADBE,2.166265e-09
COP,2.0892648e-09
HIG,2.0598858e-09
FANG,2.0321989e-09
ADI,2.0187627e-09
MPC,1.9919197e-09
HAL,1.9676187e-09
PRU,1.9500461e-09
ECL,1.9148048e-09
AVY,1.8906776e-09
EOG,1.8866595e-09
PNC,1.8681665e-09
TMO,1.8262016e-09
RVTY,1.7875105e-09
CRM,1.7616232e-09
CME,1.7490057e-09
EQIX,1.7473918e-09
ETN,1.6935263e-09
TSCO,1.6922809e-09
CSCO,1.6884875e-09
AMD,1.6701044e-09
CTAS,1.6590077e-09
J,1.6465278e-09
RSG,1.638511e-09
MET,1.6311631e-09
USB,1.6219395e-09
A,1.6199091e-09
MHK,1.6120695e-09
RL,1.6018188e-09
PHM,1.5860312e-09
FTV,1.4423888e-09
AZO,1.4372548e-09
CAT,1.4355325e-09
APA,1.4318569e-09
OKE,1.429028e-09
PCAR,1.4286868e-09
LH,1.4211996e-09
MOH,1.4084641e-09
CARR,1.401781e-09
PKG,1.3995248e-09
PAYC,1.3803568e-09
PH,1.3757196e-09
ESS,1.3714312e-09
FCX,1.3688413e-09
TDG,1.3577289e-09
BAC,1.333099e-09
SPGI,1.3330685e-09
BKR,1.3258298e-09
GE,1.3125325e-09
CBRE,1.3080926e-09
STE,1.286639e-09
BXP,1.2730722e-09
CFG,1.2682948e-09
CVS,1.2406307e-09
LDOS,1.239816e-09
DLR,1.1938697e-09
SYF,1.1868481e-09
RJF,1.1860739e-09
VLO,1.1856514e-09
EXPE,1.1799159e-09
DUK,1.1525552e-09
UNP,1.1409831e-09
LRCX,1.1374004e-09
IR,1.1356314e-09
LEN,1.1248956e-09
GNRC,1.1087581e-09
EXPD,1.1075915e-09
ADSK,1.0908661e-09
CDW,1.09066e-09
DE,1.0759678e-09
HBAN,1.0646943e-09
SWKS,1.062211e-09
META,1.0586155e-09
PPL,1.057018e-09
CBOE,1.0486056e-09
TSN,1.0478496e-09
AON,1.0450562e-09
IFF,1.0438911e-09
DD,1.0178262e-09
GWW,9.988743e-10
NEM,9.972105e-10
STX,9.942662e-10
TDY,9.915051e-10
NFLX,9.780609e-10
ETR,9.746196e-10
GILD,9.639962e-10
WDC,9.581166e-10
PANW,9.53685e-10
VRTX,9.506655e-10
TFX,9.479103e-10
TFC,9.409689e-10
PWR,9.2701885e-10
IDXX,9.232627e-10
CMA,9.219068e-10
VTRS,9.1787195e-10
FRT,9.018832e-10
ALL,8.887521e-10
L,8.797098e-10
PAYX,8.789324e-10
NTAP,8.667414e-10
MGM,8.6534735e-10
MMM,8.646638e-10
ORCL,8.6180796e-10
KLAC,8.5635415e-10
CB,8.5543866e-10
SO,8.434881e-10
GOOGL,8.418933e-10
HES,8.3901985e-10
TER,8.2448476e-10
TRMB,8.2208823e-10
IQV,8.147751e-10
REG,8.0017926e-10
TYL,7.867097e-10
HD,7.8288565e-10
VRSK,7.7161416e-10
CMS,7.6697393e-10
LYV,7.4428624e-10
ILMN,7.439411e-10
EPAM,7.398871e-10
EIX,7.337456e-10
FITB,7.248791e-10
CRL,7.221723e-10
TXN,7.2009787e-10
DGX,7.1866446e-10
ALK,7.1598155e-10
VTR,7.159431e-10
KMI,6.965691e-10
BIO,6.955897e-10
JNJ,6.861666e-10
NDSN,6.847995e-10
GPN,6.833636e-10
MAS,6.799863e-10
MMC,6.657741e-10
EFX,6.6114675e-10
NXPI,6.60827e-10
SNA,6.539142e-10
NI,6.470137e-10
ROL,6.3075134e-10
FDX,6.294534e-10
SRE,6.2913535e-10
PEG,6.23264e-10
AJG,6.1702204e-10
MTB,6.144316e-10
MSFT,6.1268673e-10
DTE,6.1172045e-10
GD,6.070723e-10
PGR,5.9971256e-10
RF,5.9932836e-10
ED,5.9893107e-10
JBHT,5.9846517e-10
ATO,5.9171973e-10
PYPL,5.855104e-10
LUV,5.836526e-10
FI,5.830911e-10
APD,5.814349e-10
ACGL,5.7846894e-10
DHI,5.766363e-10
ANSS,5.750872e-10
PNW,5.6948024e-10
CF,5.6930327e-10
SWK,5.6741745e-10
SHW,5.6554733e-10
ROK,5.628416e-10
WRB,5.5820454e-10
D,5.57894e-10
MS,5.510211e-10
PSA,5.5030114e-10
OMC,5.471555e-10
MKTX,5.3722166e-10
CHTR,5.3244875e-10
ADP,5.1698984e-10
CTRA,5.167057e-10
LNT,5.1208715e-10
EXC,5.068446e-10
ETSY,4.9964466e-10
EQT,4.964943e-10
FTNT,4.9164833e-10
ALGN,4.876294e-10
EXR,4.8728016e-10
INVH,4.842852e-10
AEP,4.833443e-10
DVN,4.8180704e-10
ON,4.7877613e-10
IVZ,4.7649784e-10
HII,4.7496096e-10
VFC,4.7315646e-10
PLD,4.7167314e-10
CI,4.7160675e-10
EVRG,4.6125118e-10
JKHY,4.6115223e-10
NUE,4.5900722e-10
IEX,4.5817466e-10
CNP,4.57091e-10
ENPH,4.5404128e-10
WELL,4.518249e-10
MCHP,4.4608814e-10
AOS,4.45906e-10
AEE,4.4584436e-10
EA,4.4152063e-10
NOW,4.372166e-10
NTRS,4.3650364e-10
PCG,4.3493978e-10
ALLE,4.3351492e-10
O,4.3079965e-10
BK,4.2859227e-10
FE,4.1746945e-10
TECH,4.107438e-10
CVX,4.0601547e-10
STT,3.9286288e-10
TRV,3.8666723e-10
AVB,3.8648423e-10
MRNA,3.8462514e-10
CZR,3.841657e-10
OXY,3.8309353e-10
C,3.8199277e-10
PFE,3.796199e-10
COF,3.787089e-10
NEE,3.6658998e-10
EMN,3.6648917e-10
CL,3.6270578e-10
AMAT,3.5792783e-10
MTCH,3.5547681e-10
ISRG,3.544293e-10
KO,3.5297285e-10
WHR,3.5240916e-10
UNH,3.519039e-10
TXT,3.473055e-10
KR,3.4713135e-10
MSI,3.4680028e-10
ABT,3.4652944e-10
HPQ,3.4611464e-10
OTIS,3.4567754e-10
WMT,3.4063732e-10
HST,3.36598e-10
VMC,3.3147876e-10
TAP,3.2233471e-10
ZTS,3.2009503e-10
AWK,3.1688568e-10
RCL,3.1681935e-10
MCK,3.1135067e-10
EQR,3.110222e-10
CMG,3.1089514e-10
MDT,3.0900518e-10
TMUS,3.090001e-10
BG,3.0856248e-10
FIS,3.0578284e-10
LHX,3.0350425e-10
BA,3.0341268e-10
SCHW,3.0224878e-10
STZ,2.9835248e-10
BEN,2.9815111e-10
TTWO,2.9613434e-10
DOV,2.9542258e-10
XEL,2.9338382e-10
ITW,2.9184133e-10
DIS,2.912832e-10
PG,2.9066893e-10
CPT,2.8555489e-10
